PID,Name,Title,PublicationType,ContentType,Language,Journal,JournalISSN,JournalEISSN,Status,Volume,Issue,HostPublication,StartPage,EndPage,Year,Edition,Pages,City,Publisher,Series,SeriesISSN,SeriesEISSN,ISBN,Urls,ISRN,DOI,ISI,PMID,ScopusId,NBN,LocalId,ArchiveNumber,Keywords,Categories,ResearchSubjects,Projects,Notes,Abstract,Opponents,Supervisors,Examiners,Patent,ThesisLevel,Credits,Programme,Subject,Uppsok,DefencePlace,DefenceLanguage,DefenceDate,CreatedDate,PublicationDate,LastUpdated,FullTextLink,Funder,NumberOfAuthors,ExternalCooperation,FridaLevel,PartOfThesis,PublicationSubtype,Conference,Term,ArticleId,Reviewed,FreeFulltext,SustainableDevelopment,Contributor
1800327,"Abedini, Fereshteh [ferab96] (Linköpings universitet [276], Institutionen för teknik och naturvetenskap [296], Medie- och Informationsteknik [6850]) (Linköpings universitet [276], Tekniska fakulteten [872902])",2D and 3D Halftoning for Appearance Reproduction,"Doktorsavhandling, sammanläggning",Övrigt vetenskapligt,eng,,,,,,,,,,2023.0,,57.0,Linköping,Linköping University Electronic Press,Linköping Studies in Science and Technology. Dissertations ; 2331,0345-7524,0345-7524,9789180752695;9789180752701,,,10.3384/9789180752701,,,,urn:nbn:se:liu:diva-198137,,,,Mediateknik (21102),,,<p>2023-10-09: The cover was updated to reflect the printed version. </p><p>Before this date the PDF has been downloaded 45 times.</p>,"<p>The appearance of an object is determined by its chromatic and geometric qualities in its surrounding environment using four optical parameters: color, gloss, translucency, and surface texture. Reconstructing the appearance of objects is of great importance in many applications, including creative industries, packaging, fine-art reproduction, medical simulation, and prosthesis-making. Printers are reproduction devices capable of replicating objects’ appearance in 2D and 3D forms. With the introduction of new printing technologies, new inks and materials, and demands for innovative applications, creating accurate reproduction of the desired visual appearance has become challenging. Thus, the appearance reproduction workflow requires improvements and adaptations. </p><p>Accurate color reproduction is a critical quality measure in reproducing the desired appearance in any printing process. However, printers are devices with a limited number of inks that can either print a dot or leave it blank at a specific position on a substrate; hence, to reproduce different colors, optimal placement of the available inks is needed. Halftoning is a technique that deals with this challenge by generating a spatial distribution of the available inks that creates an illusion of the target color when viewed from a sufficiently large distance. Halftoning is a fundamental part of the color reproduction task in any full-color printing pipeline, and it is an effective technique to increase the potential of printing realistic and complex appearances. Although halftoning has been used in 2D printing for many decades, it still requires improvements in reproducing fine details and structures of images. Moreover, the emergence of new technologies in 3D printing introduces a higher degree of freedom and more parameters to the field of appearance reproduction. Therefore, there is a critical need for extensive studies to revisit existing halftoning algorithms and develop novel approaches to produce high quality prints that match the target appearance faithfully. This thesis aims at developing halftoning algorithms to improve appearance reproduction in 2D and 3D printing. </p><p>Contributions of this thesis in the 2D domain is a dynamic sharpness-enhancing halftoning approach, which adaptively varies the local sharpness of the halftone image based on different textures in the original image for realistic appearance printing. The results show improvements in halftone quality in terms of sharpness, preserving structural similarity, and decreasing color reproduction error. The main contribution of this thesis in 3D printing is extending a high quality 2D halftoning algorithm to the 3D domain. The proposed method is then integrated with a multi-layer printing approach, where ink is deposited at variable depths to improve the reproduction of tones and fine details. Results demonstrate that the proposed method accurately reproduces tones and details of the target appearance. Another contribution of this thesis is studying the effect of halftoning on the perceived appearance of 3D printed surfaces. According to the results, changing the dot placement based on the elevation variation of the underlying geometry can potentially control the perception of the 3D printed appearance. It implies that the choice of halftone may prove helpful in eliminating unwanted artifacts, enhancing the object’s geometric features, and producing a more accurate 3D appearance. The proposed methods in this thesis have been evaluated using different printing techniques.    </p>","Morovic, Jan, Dr.","Gooran, Sasan [sasgo26], Associate Professor (Linköpings universitet [276], Institutionen för teknik och naturvetenskap [296], ;;Medie- och Informationsteknik [6850]) (Linköpings universitet [276], ;Tekniska fakulteten [872902])Nyström, Daniel [danny19], Senior Lecturer (Linköpings universitet [276], Institutionen för teknik och naturvetenskap [296], ;;Medie- och Informationsteknik [6850]) (Linköpings universitet [276], ;Tekniska fakulteten [872902])",,,,,,,,"K3, Kåkenhus, Campus Norrköping, Norrköping",eng,2023-10-26T10:15,2023-09-26,2023-09-26,2023-10-09,https://liu.diva-portal.org/smash/get/diva2:1800327/FULLTEXT02.pdf,,1,,deprecated,,,,,,True,True,,
1798979,"Abedini, Fereshteh [ferab96] (Linköpings universitet [276], Institutionen för teknik och naturvetenskap [296], Medie- och Informationsteknik [6850]) (Linköpings universitet [276], Tekniska fakulteten [872902])",Effect of halftones on printing iridescent colors,Konferensbidrag,Refereegranskat,eng,,,,,35.0,,"<em>IS&amp;T Electronic Imaging</em> : <em>Color Imaging XXVIII: Displaying, Processng, Hardcopy, and Applications</em>",1,6,2023.0,,,,The Society for Imaging Science and Technology,,,,,,,,,,,urn:nbn:se:liu:diva-197992,,,,Mediateknik (21102),,,,"<p>The iridescent effect produced by structural color is difficult (if not impossible) to capture and print using traditional CMYK pigments. The so called RGB reflective pigments, nonetheless, generate angle-dependent colors by light interference. A layered surface structure generated by the pigments’ particles on a substrate reflects light waves of different wavelengths at different viewing angles according to the optical principle known as the Bragg Law. In this work, we have studied the influence of different halftone structures on printed images, produced with RGB reflective inks via screen printing. The main goal was to enhance the iridescence of a printed reproduction by studying the performance of different halftone algorithms on a screen printing process. We investigated the influence of different halftone structures in creating different spatial combinations of inks on a print to reproduce the image of an iridescent feathered headdress. We applied first-order, second-order, and structure-aware FM halftones to compare how they influence the reproduction of the material appearance of the object represented in the original image. The results show that the structure-ware halftones improve the representation of the image structures and details. Therefore, it could better convey the 3D surface features that produce iridescence in real feathers.</p>",,,,,,,,,,,,,2023-09-20,2023-09-20,2023-09-26,,,1,,deprecated,urn:nbn:se:liu:diva-198137,publishedPaper,IS&T Electronic Imaging,,,False,,,
1747778,"Abedini, Fereshteh [ferab96] (Linköpings universitet [276], Institutionen för teknik och naturvetenskap [296], Medie- och Informationsteknik [6850]) (Linköpings universitet [276], Tekniska fakulteten [872902]);Gooran, Sasan [sasgo26] (Linköpings universitet [276], Institutionen för teknik och naturvetenskap [296], Medie- och Informationsteknik [6850]) (Linköpings universitet [276], Tekniska fakulteten [872902])",Structure-Aware Color Halftoning with Adaptive Sharpness Control,Artikel i tidskrift,Refereegranskat,eng,Journal of Imaging Science and Technology,1062-3701,1943-3522,published,66.0,6,,,,2022.0,,,,I S & T-SOC IMAGING SCIENCE TECHNOLOGY,,,,,,,10.2352/J.ImagingSci.Technol.2022.66.6.060404,939908300011.0,,,urn:nbn:se:liu:diva-192705,,,,Mediateknik (21102),,,<p>Funding Agencies|ApPEARS (Appearance Printing European Advanced Research School); European Unions Horizon 2020 programme under the Marie Sklodowska-Curie grant [814158]</p>,"<p>Structure-aware halftoning algorithms aim at improving their non-structure-aware version by preserving high-frequency details, structures, and tones and by employing additional information from the input image content. The recently proposed achromatic structure-aware Iterative Method Controlling the Dot Placement (IMCDP) halftoning algorithm uses the angle of the dominant line in each pixels neighborhood as supplementary information to align halftone structures with the dominant orientation in each region and results in sharper halftones, gives a more three-dimensional impression, and improves the structural similarity and tone preservation. However, this method is developed only for monochrome halftoning, the degree of sharpness enhancement is constant for the entire image, and the algorithm is prohibitively expensive for large images. In this paper, we present a faster and more flexible approach for representing the image structure using a Gabor-based orientation extraction technique which improves the computational performance of the structure-aware IMCDP by an order of magnitude while improving the visual qualities. In addition, we extended the method to color halftoning and studied the impact of orientation information in different color channels on improving sharpness enhancement, preserving structural similarity, and decreasing color reproduction error. Furthermore, we propose a dynamic sharpness enhancement approach, which adaptively varies the local sharpness of the halftone image based on different textures across the image. Our contributions in the present work enable the algorithm to adaptively work on large images with multiple regions and different textures. (C) 2022 Society for Imaging Science and Technology.</p>",,,,,,,,,,,,,2023-03-31,2023-03-31,2023-09-26,,,2,,deprecated,urn:nbn:se:liu:diva-198137,,,,060404,False,,,
1616853,"Abedini, Fereshteh [ferab96] (Linköpings universitet [276], Institutionen för teknik och naturvetenskap [296], Medie- och Informationsteknik [6850]) (Linköpings universitet [276], Tekniska fakulteten [872902]);Gooran, Sasan [sasgo26] (Linköpings universitet [276], Institutionen för teknik och naturvetenskap [296], Medie- och Informationsteknik [6850]) (Linköpings universitet [276], Tekniska fakulteten [872902]);Kitanovski, Vlado (Norwegian University of Science and Technology, Faculty of Information Technology and Electrical Engineering, Department of Computer Science, Gjøvik, Norway);Nyström, Daniel [danny19] (Linköpings universitet [276], Institutionen för teknik och naturvetenskap [296], Medie- och Informationsteknik [6850]) (Linköpings universitet [276], Tekniska fakulteten [872902])",Structure-Aware Halftoning Using the Iterative Method Controlling the Dot Placement,Artikel i tidskrift,Refereegranskat,eng,Journal of Imaging Science and Technology,1062-3701,1943-3522,published,65.0,6,,,,2021.0,,,,I S & T-SOC IMAGING SCIENCE TECHNOLOGY,,,,,,,10.2352/j.imagingsci.technol.2021.65.6.060404,734009600011.0,,,urn:nbn:se:liu:diva-181613,,,Halftoning;Structure-Aware Halftoning;Hough Transform;Image Quality Evaluation,Mediateknik (21102),,,<p>Funding: ApPEARS (Appearance Printing European Advanced Research School); European Unions Horizon 2020 programme under the Marie Skodowska-Curie [814158]</p>,"<p>Many image reproduction devices, such as printers, are limited to only a few numbers of printing inks. Halftoning, which is the process to convert a continuous-tone image into a binary one, is, therefore, an essential part of printing. An iterative halftoning method, called Iterative Halftoning Method Controlling the Dot Placement (IMCDP), which has already been studied by research scholars, generally results in halftones of good quality. In this paper, we propose a structure-based alternative to this algorithm that improves the halftone image quality in terms of sharpness, structural similarity, and tone preservation. By employing appropriate symmetrical and non-symmetrical Gaussian filters inside the proposed halftoning method, it is possible to adaptively change the degree of sharpening in different parts of the continuous-tone image. This is done by identifying a dominant line in the neighborhood of each pixel in the original image, utilizing the Hough Transform, and aligning the dots along the dominant line. The objective and subjective quality assessments verify that the proposed structure-based method not only results in sharper halftones, giving more three-dimensional impression, but also improves the structural similarity and tone preservation. The adaptive nature of the proposed halftoning method makes it an appropriate algorithm to be further developed to a 3D halftoning method, which could be adapted to different parts of a 3D object by exploiting both the structure of the images being mapped and the 3D geometrical structure of the underlying printed surface.</p>",,,,,,,,,,,,,2021-12-04,2021-12-04,2023-09-26,,,4,,deprecated,urn:nbn:se:liu:diva-198137,,,,,True,,,
1505607,"Abedini, Fereshteh [ferab96] (Linköpings universitet [276], Institutionen för teknik och naturvetenskap [296], Medie- och Informationsteknik [6850]) (Linköpings universitet [276], Tekniska fakulteten [872902]);Gooran, Sasan [sasgo26] (Linköpings universitet [276], Institutionen för teknik och naturvetenskap [296], Medie- och Informationsteknik [6850]) (Linköpings universitet [276], Tekniska fakulteten [872902]);Nyström, Daniel [danny19] (Linköpings universitet [276], Institutionen för teknik och naturvetenskap [296], Medie- och Informationsteknik [6850]) (Linköpings universitet [276], Tekniska fakulteten [872902])",3D Halftoning based on Iterative Method Controlling Dot Placement,Konferensbidrag,Refereegranskat,eng,,,,,,,,69,74,2020.0,,,,,,,,,,,10.2352/ISSN.2169-4451.2020.36.69,,,,urn:nbn:se:liu:diva-171744,,,3D printing;3D halftoning;Surface reproduction,Mediateknik (21102),,,,"<p>Realistic appearance reproduction is of great importance in 3D printing’s applications. Halftoning as a necessary process in printing has a great impact on creating visually pleasant appearance. In this article, we study the aspects of adapting and applying Iterative Method Controlling Dot Placement (IMCDP) to halftone three-dimensional surfaces. Our main goal is to extend the 2D algorithm to a 3D halftoning approach with minor modifications. The results show high-quality reproduction for all gray tones. The 3D halftoning algorithm is not only free of undesirable artifacts, it also produces fully symmetric and wellformed halftone structures even in highlight and shadow regions.</p>",,,,,,,,,,,,,2020-12-01,2020-12-01,2023-09-26,,,3,,deprecated,urn:nbn:se:liu:diva-198137,abstracts,"Printing for Fabrication, Online 2020, October 19-21",,17,True,,,
1607197,"Abedini, Fereshteh [ferab96] (Linköpings universitet [276], Institutionen för teknik och naturvetenskap [296], Medie- och Informationsteknik [6850]) (Linköpings universitet [276], Tekniska fakulteten [872902]);Gooran, Sasan [sasgo26] (Linköpings universitet [276], Institutionen för teknik och naturvetenskap [296], Medie- och Informationsteknik [6850]) (Linköpings universitet [276], Tekniska fakulteten [872902]);Nyström, Daniel [danny19] (Linköpings universitet [276], Institutionen för teknik och naturvetenskap [296], Medie- och Informationsteknik [6850]) (Linköpings universitet [276], Tekniska fakulteten [872902])",The Effect of Halftoning on the Appearance of 3D Printed Surfaces,Konferensbidrag,Refereegranskat,eng,,,,,,,,,,2021.0,,,,,,,,,,,,,,,urn:nbn:se:liu:diva-180696,,,3D printing;Halftoning;Surface appearance,Mediateknik (21102),,,,<p>Managing the final appearance of 3D surfaces is an interesting and essential topic in 3D printing applications. Knowledge about the parameters which influence the 3D surface reproduction quality enables engineers to achieve the final appearance as accurately as designed. Many studies have been conducted to explore numerous parameters that affect the quality of 3D surface reproduction. This work contributes to verifying the role of halftoning in increasing the 3D surface visual quality and the control over the surface appearance of a 3D printed object. The results show that applying different halftones according to the geometrical characteristics of the 3D surface could emphasize or diminish the perceived 3D geometrical structures of a shape. The experimental results are in line with the simulated outputs reported in previous work. Our findings might introduce a new approach towards having more control over 3D appearance reproduction without changing the material or printer settings.</p>,,,,,,,,,,,,,2021-10-29,2021-10-29,2023-09-26,,,3,,deprecated,urn:nbn:se:liu:diva-198137,publishedPaper,47th Annual Conference of Iarigai,,,True,,,
1575592,"Abrikosov, Alexei I. [aleab47] [0000-0002-3322-0646] (Linköpings universitet [276], Institutionen för teknik och naturvetenskap [296], Medie- och Informationsteknik [6850]) (Linköpings universitet [276], Tekniska fakulteten [872902]) (Scientific Visualization Group);Masood, Talha Bin [talma90] [0000-0001-5352-1086] (Linköpings universitet [276], Institutionen för teknik och naturvetenskap [296], Medie- och Informationsteknik [6850]) (Linköpings universitet [276], Tekniska fakulteten [872902]) (Scientific Visualization Group);Falk, Martin [marfa45] [0000-0003-1511-5006] (Linköpings universitet [276], Institutionen för teknik och naturvetenskap [296], Medie- och Informationsteknik [6850]) (Linköpings universitet [276], Tekniska fakulteten [872902]) (Scientific Visualization Group);Hotz, Ingrid [ingho32] [0000-0001-7285-0483] (Linköpings universitet [276], Institutionen för teknik och naturvetenskap [296], Medie- och Informationsteknik [6850]) (Linköpings universitet [276], Tekniska fakulteten [872902])",Topological analysis of density fields: An evaluation of segmentation methods,Artikel i tidskrift,Refereegranskat,eng,Computers & graphics,0097-8493,1873-7684,published,98.0,,,231,241,2021.0,,,,Elsevier,,,,,,,10.1016/j.cag.2021.05.015,684519700007.0,,,urn:nbn:se:liu:diva-177624,,,Topological data analysis;Scalar fields;Morse–Smale complex;Voronoi diagram;Numerical methods;Visualization,Data- och informationsvetenskap (102),,,"<p>Funding: Excellence Center at Linkoping and Lund in Information Technology (ELLIIT); Swedish e-Science Research Centre (SeRC); Swedish Research Council (VR)Swedish Research Council [2018-07085, 2019-05487]; Swedish Research CouncilSwedish Research CouncilEuropean Commission [2018-05973]</p>","<p>Topological and geometric segmentation methods provide powerful concepts for detailed field analysis and visualization. However, when it comes to a quantitative analysis that requires highly accurate geometric segmentation, there is a large discrepancy between the promising theory and the available computational approaches. In this paper, we compare and evaluate various segmentation methods with the aim to identify and quantify the extent of these discrepancies. Thereby, we focus on an application from quantum chemistry: the analysis of electron density fields. It is a scalar quantity that can be experimentally measured or theoretically computed. In the evaluation we consider methods originating from the domain of quantum chemistry and computational topology. We apply the methods to the charge density of a set of crystals and molecules. Therefore, we segment the volumes into atomic regions and derive and compare quantitative measures such as total charge and dipole moments from these regions. As a result, we conclude that an accurate geometry determination can be crucial for correctly segmenting and analyzing a scalar field, here demonstrated on the electron density field.</p>",,,,,,,,,,,,,2021-06-30,2021-06-30,2021-09-01,https://liu.diva-portal.org/smash/get/diva2:1575592/FULLTEXT01.pdf,Vetenskapsrådet [2018-07085];Vetenskapsrådet [2019-05487],4,,deprecated,,,,,,True,True,,
1706117,"Abrikosov, Alexei I. [aleab47] [0000-0002-3322-0646] (Linköpings universitet [276], Institutionen för teknik och naturvetenskap [296], Medie- och Informationsteknik [6850]) (Linköpings universitet [276], Tekniska fakulteten [872902]);Veryazov, Valera (Theoretical Chemistry, Lund University, Lund, Sweden)",Multiscale Modelling of Atomistic Structure of Calcium Silicate Hydrate,Artikel i tidskrift,Refereegranskat,eng,Solid State Phenomena,1012-0394,1662-9779,published,338.0,,,123,128,2022.0,,,"Bäch, Switzerland",Scientific.Net,,,,,,,10.4028/p-um994v,,,2-s2.0-85141684457,urn:nbn:se:liu:diva-189549,,,Disordered Crystals;Atomistic Modelling;C-S-H;DFT;ReaxFF Force Field;Semiempirical Calculations,Kemi (104),,,,"<p>The atomistic structure of calcium-silicate-hydrate (C-S-H) has been studied by applying force field simulations and quantum mechanical methods. Large number of crystallographically equivalent structures were used to account for the disordered nature of C-S-H. An extensive set of periodic structures of C-S-H (with a variation of chemical composition) has been generated and optimised. Special attention has been paid to two crystallographic models for tobermorite, which are used for the construction of C-S-H models. Re-optimisation of atomic structures, initially optimised with ReaxFF force field, by quantum chemical methods (semiempirical and Density functional theory) have been performed. Although the main structural characteristics of C-S-H remain the same in all calculations, the balance between the amount of OH groups and water in the structure is different. The obtained structures (optimised with a different level of theory) are combined into an on-line database and can be used for a future simulation of C-S-H materials.</p>",,,,,,,,,,,,,2022-10-25,2022-10-25,2022-11-24,,,2,,deprecated,,,,,,True,,,
1087779,"Abrikosov, Igor A. [igoab43] [0000-0001-7551-4717] (Linköpings universitet [276], Institutionen för fysik, kemi och biologi [282], Teoretisk Fysik [2229]) (Linköpings universitet [276], Tekniska fakulteten [872902]);Alling, Björn [bjoal69] (Linköpings universitet [276], Institutionen för fysik, kemi och biologi [282], Tunnfilmsfysik [2232]) (Linköpings universitet [276], Tekniska fakulteten [872902]);Steneteg, Peter [petst55] (Linköpings universitet [276], Institutionen för teknik och naturvetenskap [296], Medie- och Informationsteknik [6850]) (Linköpings universitet [276], Tekniska fakulteten [872902]);Hultberg, Lasse (Linköpings universitet [276], Institutionen för fysik, kemi och biologi [282]) (Linköpings universitet [276], Tekniska fakulteten [872902]);Hellman, Olle [olohe96] (Linköpings universitet [276], Institutionen för fysik, kemi och biologi [282], Teoretisk Fysik [2229]) (Linköpings universitet [276], Tekniska fakulteten [872902]);Yu Mosyagin, Igor [igomo87] (Linköpings universitet [276], Institutionen för fysik, kemi och biologi [282], Teoretisk Fysik [2229]) (Linköpings universitet [276], Tekniska fakulteten [872902]) (Department of Theoretical Physics and Quantum Technologies, National Research, Technological University MISiS, Moscow, Russia);Lugovskoy, Andrey V. (Department of Theoretical Physics and Quantum Technologies, National Research, Technological University MISiS, Russia);Barannikova, Svetlana A. (Institute of Strength Physics and Materials Science, Siberian Branch of Russian Academy of Science, Tomsk, Russia; Department of Physics and Engineering, Tomsk State University, Tomsk, Russia)","Finite Temperature, Magnetic, and Many-Body Effects in Ab Initio Simulations of Alloy Thermodynamics","Kapitel i bok, del av antologi",Refereegranskat,eng,,,,,,,TMS2013 Supplemental Proceedings,617,626,2013.0,,,,John Wiley & Sons,,,,9781118605813;9781118663547,,,10.1002/9781118663547.ch77,,,,urn:nbn:se:liu:diva-136443,,,Alloy thermodynamics;Ti alloys;(Ti-Al)N;(Cr-Al)N,Den kondenserade materiens fysik (10304);Teoretisk kemi (10407);Oorganisk kemi (10404);Metallurgi och metalliska material (20506),,,,"<p><em>Ab initio </em>electronic structure theory is known as a useful tool for prediction of materials properties. However, majority of simulations still deal with calculations in the framework of density functional theory with local or semi-local functionals carried out at zero temperature. We present new methodological solution.s, which go beyond this approach and explicitly take finite temperature, magnetic, and many-body effects into account. Considering Ti-based alloys, we discuss !imitations of the quasiharmonic approximation for the treatment of lattice vibrations, and present an accurate and easily extendable method to calculate free ,energies of strongly anharmonic solids. We underline the necessity to going beyond the state-of-the-art techniques for the determination of effective cluster interactions in systems exhibiting mctal-to-insulator transition, and describe a unified cluster expansion approach developed for this class of materials. Finally, we outline a first-principles method, disordered local moments molecular dynamics, for calculations of thermodynamic properties of magnetic alloys, like Cr<sub>1-x</sub>,.Al<sub>x</sub>N, in their high-temperature paramagnetic state. Our results unambiguously demonstrate importance of finite temperature effects in theoretical calculations ofthermodynamic properties ofmaterials.</p>",,,,,,,,,,,,,2017-04-10,2017-04-10,2024-01-08,,,8,,deprecated,urn:nbn:se:liu:diva-136447,,,,,True,,,
925580,"Abrikosov, Igor [igoab43] [0000-0001-7551-4717] (Linköpings universitet [276], Institutionen för fysik, kemi och biologi [282], Teoretisk Fysik [2229]) (Linköpings universitet [276], Tekniska fakulteten [872902]) (National University of Science and Technology MISIS, Russia);Ponomareva, A. V. (National University of Science and Technology MISIS, Russia);Steneteg, Peter [petst55] (Linköpings universitet [276], Institutionen för teknik och naturvetenskap [296], Medie- och Informationsteknik [6850]) (Linköpings universitet [276], Tekniska fakulteten [872902]);Barannikova, S. A. (National University of Science and Technology MISIS, Russia; National Research Tomsk State University, Russia; SB RAS, Russia);Alling, Björn [bjoal69] (Linköpings universitet [276], Institutionen för fysik, kemi och biologi [282], Tunnfilmsfysik [2232]) (Linköpings universitet [276], Tekniska fakulteten [872902])",Recent progress in simulations of the paramagnetic state of magnetic materials,"Artikel, forskningsöversikt",Refereegranskat,eng,Current opinion in solid state & materials science,1359-0286,1879-0348,published,20.0,2,,85,106,2016.0,,,,PERGAMON-ELSEVIER SCIENCE LTD,,,,,,,10.1016/j.cossms.2015.07.003,372760600003.0,,,urn:nbn:se:liu:diva-127416,,,Paramagnetic state; Magnetic materials; First-principles simulations,Fysik (103);Elektroteknik och elektronik (202),,,"<p>Funding Agencies|Ministry of Education and Science of the Russian Federation [14.Y26.31.0005]; Tomsk State University Academic D.I. Mendeleev Fund Program [8.1.18.2015]; Swedish Foundation for Strategic Research (SSF) program SRL Grant [10-0026]; Swedish Research Council (VR) [621-2011-4426, 621-2011-4417]; Program of Fundamental Research of State Academies of Sciences [III.23.1.2]</p>","<p>We review recent developments in the field of first-principles simulations of magnetic materials above the magnetic order disorder transition temperature, focusing mainly on 3d-transition metals, their alloys and compounds. We review theoretical tools, which allow for a description of a system with local moments, which survive, but become disordered in the paramagnetic state, focusing on their advantages and limitations. We discuss applications of these theories for calculations of thermodynamic and mechanical properties of paramagnetic materials. The presented examples include, among others, simulations of phase stability of Fe, Fe-Cr and Fe-Mn alloys, formation energies of vacancies, substitutional and interstitial impurities, as well as their interactions in Fe, calculations of equations of state and elastic moduli for 3d-transition metal alloys and compounds, like CrN and steels. The examples underline the need for a proper treatment of magnetic disorder in these systems. (C) 2015 Elsevier Ltd. All rights reserved.</p>",,,,,,,,,,,,,2016-04-26,2016-05-02,2024-01-08,https://liu.diva-portal.org/smash/get/diva2:925580/FULLTEXT01.pdf,,5,,deprecated,,,,,,False,,,
