PID,Name,Title,PublicationType,ContentType,Language,Journal,JournalISSN,JournalEISSN,Status,Volume,Issue,HostPublication,StartPage,EndPage,Year,Edition,Pages,City,Publisher,Series,SeriesISSN,SeriesEISSN,ISBN,Urls,ISRN,DOI,ISI,PMID,ScopusId,NBN,LocalId,ArchiveNumber,Keywords,Categories,ResearchSubjects,Projects,Notes,Abstract,Opponents,Supervisors,Examiners,Patent,ThesisLevel,Credits,Programme,Subject,Uppsok,DefencePlace,DefenceLanguage,DefenceDate,CreatedDate,PublicationDate,LastUpdated,FullTextLink,Funder,NumberOfAuthors,ExternalCooperation,FridaLevel,PartOfThesis,PublicationSubtype,Conference,Term,ArticleId,Reviewed,FreeFulltext,SustainableDevelopment,Contributor
"270825","Laznik, M (Jordforsk, Ctr Soil & Environm Res, N-1432 As Nlh, Norway Latvian Hydrometeorol Agcy, LV-1019 Riga, Latvia Linkoping Univ, Dept Math, SE-58183 Linkoping, Sweden Swedish Meteorol & Hydrol Inst, SE-60176 Norrkoping, Sweden);Stalnacke, P (Jordforsk, Ctr Soil & Environm Res, N-1432 As Nlh, Norway Latvian Hydrometeorol Agcy, LV-1019 Riga, Latvia Linkoping Univ, Dept Math, SE-58183 Linkoping, Sweden Swedish Meteorol & Hydrol Inst, SE-60176 Norrkoping, Sweden);Grimvall, Anders [andgr70] (Linköpings universitet [276], Filosofiska fakulteten [1750]) (Linköpings universitet [276], Matematiska institutionen [307], Statistik [2330]);Wittgren, Hans Bertil [hanwi69] (Linköpings universitet [276], Filosofiska fakulteten [1750]) (Linköpings universitet [276], Institutionen för tematisk utbildning och forskning [304])","Riverine input of nutrients to the Gulf of Riga - temporal and spatial variation","Artikel i tidskrift","Refereegranskat","eng","Journal of Marine Systems","0924-7963","1879-1573","published","23","1-3","","11","25","1999","","","","","","","","","","","","","","","urn:nbn:se:liu:diva-49929","","","Gulf of Riga;rivers;nutrients;loading;temporal variation;seasonal variation","Samhällsvetenskap (5)","","","","<p>Riverine transport is the, most important pathway for input of nutrients to the Gulf of Riga. The present study focused on updating existing estimates of the riverine nutrient contributions and on improving the favailable information on temporal and spatial variation in such input. The results show that the gulf received an average of 113,300 tons of nitrogen, 2050 tons of phosphorus and 64,900 tons of dissolved silica (DSi) annually during the time period 1977-1995. There was large interannual variation in loads, e.g., a factor two difference was found between the two most extreme years (1984 and 1990), this was attributed mainly to natural variation in water discharge. The seasonal distribution of nutrient loads exhibited a distinct pattern for practically all studied constituents, especially nitrate. Loads were high during the spring-flow and relatively low during the low-flow summer period. Examination of the spatial variation of nutrient loads showed that the Daugava River alone accounted for approximately 60% of the total riverine load. The highest area-specific loads of nitrate and phosphate were observed in the agriculturally dominated Lielupe River, and the highest loads of organic-nitrogen (org-N) and total phophorus (tot-P) were found in the Parnu River. However, the values for all the studied rivers and constituents were rather low (phosphorus) or moderate (nitrogen and silica) compared to those reported for many other drainage areas of the Baltic Sea. This was true despite the inefficient sewage treatment and intensive agriculture in the studied basins in the 1970s and 1980s. (C) 1999 Elsevier Science B.V. All rights reserved.</p>","","","","","","","","","","","","","2009-10-11","2009-10-11","2017-12-12","","","4","","deprecated","","","","","","false","","",""
"807266","Eriksson, Olle [oller83] (Linköpings universitet [276], Institutionen för datavetenskap [281], Statistik [2172]) (Linköpings universitet [276], Filosofiska fakulteten [1750]);Backlund, EO;Lundberg, Peter [petlu11] [0000-0001-8661-2232] (Linköpings universitet [276], Institutionen för medicin och hälsa [323], Avdelningen för radiologiska vetenskaper [13360]) (Linköpings universitet [276], Hälsouniversitetet [1800]) (Linköpings universitet [276], Centrum för medicinsk bildvetenskap och visualisering, CMIV [3801]) (Östergötlands Läns Landsting [4200], Centrum för kirurgi, ortopedi och cancervård [7273], Radiofysikavdelningen US [7281]);Lindstam, H;Wårdell, Karin [karwa46] [0000-0002-0012-7867] (Linköpings universitet [276], Institutionen för medicinsk teknik [286], Biomedicinsk instrumentteknik [2298]) (Linköpings universitet [276], Tekniska högskolan [1751]) (Linköpings universitet [276], Centrum för medicinsk bildvetenskap och visualisering, CMIV [3801])","A method for comparisons between in vitro, in vivo and post mortem appearance of tereotactic RF-lesions in the pig brain.","Konferensbidrag","Övrigt vetenskapligt","eng","","","","","","","","","","2000","","","","","","","","","","","","","","","urn:nbn:se:liu:diva-117301","","","","Radiologi och bildbehandling (30208)","","","","","","","","","","","","","","","","","2015-04-23","2015-04-23","2016-05-04","","","5","","deprecated","","poster","XIV Congress of the European Society of Stereotactic and Functional Neurosurgery, London, England","","","false","","",""
"268603","Von, Sydow L.M.;Nielsen, A.T.;Grimvall, Anders [andgr70] (Linköpings universitet [276], Filosofiska fakulteten [1750]) (Linköpings universitet [276], Matematiska institutionen [307], Statistik [2330]);Borén, Hans [hanbo95] (Linköpings universitet [276], Tekniska högskolan [1751]) (Linköpings universitet [276], Institutionen för fysik, kemi och biologi [282], Organisk Analytisk Kemi [2223])","Chloro- and bromoacetates in natural archives of firn from Antarctica","Artikel i tidskrift","Refereegranskat","eng","Environmental Science and Technology","0013-936X","1520-5851","published","34","2","","239","245","2000","","","","","","","","","","","10.1021/es9812150","","","","urn:nbn:se:liu:diva-47707","","","","Teknik och teknologier (2)","","","","<p>A firn core was drilled in Dronning Maud Land, Antarctica, to investigate the presence of haloacetates in snow that had accumulated over the past 200 years. By employing GC-MS detection of methyl esters of haloacetic acids, we were able to measure haloacetate concentrations down to one or a few nanograms per liter. Trichloroacetate (TCA) and dibromoacetate (DBA) were found in firn at concentrations that clearly exceeded the blank level of the applied analytical procedure, with mean concentrations estimated to 12 and 6 ng/L, respectively. There were also indications that mono- and dichloroacetate (MCA and DCA) were present in firn, whereas monobromoacetate (MBA) was found only in samples of surficial snow. We concluded that there is a significant natural background level of TCA and DBA in precipitation based on the following: (i) several of samples represented snow accumulated in the 19th century, (ii) haloacetates can be expected to be immobile in Antarctic firn, (iii) extensive measures were taken to prevent sample contamination, and (iv) blank levels of the analytical procedure used were low and stable. In addition, our results suggested that MCA and DCA also occur naturally in precipitation.</p>","","","","","","","","","","","","","2009-10-11","2009-10-11","2017-12-13","","","4","","deprecated","","","","","","false","","",""
"268404","Hoffmann, M. (Department of Soil Sciences, Div. Water Qual. Mgmt., Swed. U., Uppsala, Sweden);Johnsson, H. (Department of Soil Sciences, Div. Water Qual. Mgmt., Swed. U., Uppsala, Sweden);Gustafson, A. (Department of Soil Sciences, Div. Water Qual. Mgmt., Swed. U., Uppsala, Sweden);Grimvall, Anders [andgr70] (Linköpings universitet [276], Filosofiska fakulteten [1750]) (Linköpings universitet [276], Matematiska institutionen [307], Statistik [2330])","Leaching of nitrogen in Swedish agriculture - A historical perspective","Artikel i tidskrift","Refereegranskat","eng","Agriculture, Ecosystems & Environment","0167-8809","1873-2305","published","80","3","","277","290","2000","","","","","","","","","","","10.1016/S0167-8809(00)00154-7","","","","urn:nbn:se:liu:diva-47508","","","","Samhällsvetenskap (5)","","","","<p>There is a need to examine long-term changes in nitrogen leaching from arable soils. The purpose of this study was to analyse variations in specific leaching rates (kg ha-1 per year) and gross load (Mg per year) of N from arable land to watercourses in Sweden from a historical perspective. The start of the study was set to 1865 because information on crop distribution, yield and livestock has been compiled yearly since then. The SOIL/SOILN model was used to calculate nitrogen leaching. Calculations were done for cereals, grass and bare fallow for three different soil types in nine agricultural regions covering a range of climatic conditions. Results indicate that both specific leaching rates and gross load of nitrogen in the middle of 19th century were approximately the same as they are today for the whole of south and central Sweden. Three main explanations for this were (1) large areas of bare fallow typical for the farming practice at the time, (2) enhanced mineralisation from newly cultivated land, and (3) low yield. From 1865, i.e. the start of the calculations, N leaching rates decreased and were at their lowest around 1930. During the same period, gross load was also at its lowest despite the fact that the acreage of arable land was at its most extensive. After 1930, average leaching increased by 60% and gross load by 30%, both reaching a peak in the mid-1970s to be followed by a declining trend. The greatest increase in leaching was in regions where the increase in animal density was largest and these regions were also those where the natural conditions for leaching such as mild winters and coarse-textured soils were found. Extensive draining projects occurred during the period of investigation, in particular an intensive exploitation of lakes and wetlands. This caused a substantial drop in nitrogen retention and the probable increase in net load to the sea might thus have been more affected by this decrease in retention than the actual increase in gross load. (C) 2000 Elsevier Science B.V.</p>","","","","","","","","","","","","","2009-10-11","2009-10-11","2017-12-13","","","4","","deprecated","","","","","","false","","",""
"268564","Grimvall, Anders [andgr70] (Linköpings universitet [276], Filosofiska fakulteten [1750]) (Linköpings universitet [276], Matematiska institutionen [307], Statistik [2330]);Stalnacke, P. (Stålnacke, P., Jordforsk-Ctr. for Soil and Environ., N-1432 Ås, Norway);Tonderski, A. (Swed. Meterological and Hydrological, SE-60176, Norrköping, Sweden)","Time scales of nutrient losses from land to sea - A European perspective","Artikel i tidskrift","Refereegranskat","eng","Ecological Engineering: The Journal of Ecotechnology","0925-8574","1872-6992","published","14","4","","363","371","2000","","","","","","","","","","","10.1016/S0925-8574(99)00061-0","","","","urn:nbn:se:liu:diva-47668","","","","Samhällsvetenskap (5)","","","","<p>Empirical data regarding the time scales of nutrient losses from soil to water and land to sea were reviewed. The appearance of strongly elevated concentrations of nitrogen and phosphorus in major European rivers was found to be primarily a post-war phenomenon. However, the relatively rapid water quality response to increased point source emissions and intensified agriculture does not imply that the reaction to decreased emissions will be equally rapid. Long-term fertilisation experiments have shown that important processes in the large-scale turnover of nitrogen operate on a time scale of decades up to at least a century, and in several major Eastern European rivers there is a remarkable lack of response to the dramatic decrease in the use of commercial fertilisers that started in the late 1980s. In Western Europe, studies of decreased phosphorus emissions have shown that riverine loads of this element can be rapidly reduced from high to moderate levels, whereas a further reduction, if achieved at all, may take decades. Together, the reviewed studies showed that the inertia of the systems that control the loss of nutrients from land to sea was underestimated when the present goal of a 50% reduction of the input of nutrients to the Baltic Sea and the North Sea was adopted. (C) 2000 Elsevier Science B.V.</p>","","","","","","","","","","","","","2009-10-11","2009-10-11","2017-12-13","","","3","","deprecated","","","","","","false","","",""
"1098728","Villani, Mattias [matvi05] [0000-0003-2786-2519] (Linköpings universitet [276], Institutionen för datavetenskap [281], Statistik [2172]) (Linköpings universitet [276], Tekniska högskolan [1751]) (Linköpings universitet [276], Filosofiska fakulteten [1750]) (Linköpings universitet [276], Tekniska fakulteten [872902])","Fractional Bayesian lag length inference in multivariate autoregressive processes","Artikel i tidskrift","Refereegranskat","eng","Journal of Time Series Analysis","0143-9782","1467-9892","published","22","1","","67","86","2001","","","","Wiley-Blackwell Publishing Inc.","","","","","","","10.1111/1467-9892.00212","000175858300004","","","urn:nbn:se:liu:diva-137704","","","Fractional marginal likelihood;improper prior;lag length selection;vector autoregression","Sannolikhetsteori och statistik (10106)","","","","<p>The posterior distribution of the number of lags in a multivariate autoregression is derived under an improper prior for the model parameters. The fractional Bayes approach is used to handle the indeterminacy in the model selection caused by the improper prior. An asymptotic equivalence between the fractional approach and the Schwarz Bayesian Criterion (SBC) is proved. Several priors and three loss functions are entertained in a simulation study which focuses on the choice of lag length. The fractional Bayes approach performs very well compared to the three most widely used information criteria, and it seems to be reasonably robust to changes in the prior distribution for the lag length, especially under the zero-one loss.</p>","","","","","","","","","","","","","2017-05-25","2017-05-25","2017-06-02","","","1","","deprecated","","","","","","true","","",""
"270128","Wendland, F (Res Ctr Julich, Programme Grp Syst Anal & Technol E, STE, D-52425 Julich, Germany Linkoping Univ, Div Stat, Dept Math, SE-58183 Linkoping, Sweden NERI, DK-8600 Silkeborg, Denmark);Kunkel, R (Res Ctr Julich, Programme Grp Syst Anal & Technol E, STE, D-52425 Julich, Germany Linkoping Univ, Div Stat, Dept Math, SE-58183 Linkoping, Sweden NERI, DK-8600 Silkeborg, Denmark);Grimvall, Anders [andgr70] (Linköpings universitet [276], Filosofiska fakulteten [1750]) (Linköpings universitet [276], Matematiska institutionen [307], Statistik [2330]);Kronvang, B (Res Ctr Julich, Programme Grp Syst Anal & Technol E, STE, D-52425 Julich, Germany Linkoping Univ, Div Stat, Dept Math, SE-58183 Linkoping, Sweden NERI, DK-8600 Silkeborg, Denmark);Muller-Wohlfeil, DI (Res Ctr Julich, Programme Grp Syst Anal & Technol E, STE, D-52425 Julich, Germany Linkoping Univ, Div Stat, Dept Math, SE-58183 Linkoping, Sweden NERI, DK-8600 Silkeborg, Denmark)","Model system for the management of nitrogen leaching at the scale of river basins and regions","Artikel i tidskrift","Refereegranskat","eng","Water Science and Technology","0273-1223","1996-9732","published","43","7","","215","222","2001","","","","","","","","","","","","","","","urn:nbn:se:liu:diva-49232","","","denitrification;groundwater residence times;GIS-supported model;nitrogen leaching;river basins","Samhällsvetenskap (5)","","","","<p>In the framework of the EU-project RANR (Regional analysis of subsurface nitrogen retention and its impact on the nitrogen export from land to sea) a model system was developed to estimate groundwater-borne nitrogen inputs into river systems. The core of this model system is composed of a soil nitrogen leaching model (SOIL-N) and a groundwater residence time/denitrification model (WEKU). The application of the model system was carried out for the study catchment areas of the Uecker basin (ca. 2400 km(2), Germany) and the Gjern basin (ca. 200 km(2), Denmark). For both catchment areas, the modelled average nitrogen loads leached into the groundwater were about 40 kg N/ha a, while the remaining groundwater-borne nitrogen intake to rivers was quantified to an average of about 2 kg/ha a. The comparision with observed groundwater-borne riverine nitrogen loads showed a very good agreement, proofing the key role nitrogen retention in groundwater plays in the two catchment areas. With regard to the generalisation and transfer of the SOIL-N/WEKU model concept we assume that the model can be applicated in catchment areas in the European Pleistocene Lowland, which ranges from the Netherlands in the west to the Baltic States and the Ukraine in the east.</p>","","","","","","","","","","","","","2009-10-11","2009-10-11","2017-12-12","","","5","","deprecated","","","","","","false","","",""
"268290","Stalnacke, P. (Stålnacke, P., Jordforsk - Ctr. Soil Environ. Res., NO-1432 Aas, Norway);Grimvall, Anders [andgr70] (Linköpings universitet [276], Filosofiska fakulteten [1750]) (Linköpings universitet [276], Matematiska institutionen [307], Statistik [2330])","Semiparametric approaches to flow normalization and source apportionment of substance transport in rivers","Artikel i tidskrift","Refereegranskat","eng","Environmetrics","1180-4009","1099-095X","published","12","3","","233","250","2001","","","","","","","","","","","10.1002/env.459","","","","urn:nbn:se:liu:diva-47394","","","Regression;Rhine River;Riverine load;Roughness penalty;Runoff;Semiparametric;Smoothing","Samhällsvetenskap (5)","","","","<p>Statistical analysis of relationships between time series of data exhibiting seasonal variation is often of great interest in environmental monitoring and assessment. The present study focused on regression models with time-varying intercept and slope parameters. In particular, we derived and tested semiparametric models in which rapid interannual and interseasonal variation in the intercept were penalized in the search for a model that combined a good fit to data with smoothly varying parameters. Furthermore, we developed a software package for efficient estimation of the parameters of such models. Test runs on time series of runoff data and riverine loads of nutrients and chloride in the Rhine River showed that the proposed smoothing methods were particularly useful for analysis of time-varying linear relationships between time series of data with both seasonal variation and temporal trends. The predictivity of the semiparametric models was superior to that of conventional parametric models. In addition, normalization of observed annual loads to mean or minimum runoff produced smooth curves that provided convincing evidence of human impact on water quality. © 2001 John Wiley & Sons, Ltd.</p>","","","","","","","","","","","","","2009-10-11","2009-10-11","2017-12-13","","","2","","deprecated","","","","","","false","","",""
"267993","Libiseller, Claudia [clali39] (Linköpings universitet [276], Matematiska institutionen [307], Statistik [2330]) (Linköpings universitet [276], Tekniska högskolan [1751]);Grimvall, Anders [andgr70] (Linköpings universitet [276], Matematiska institutionen [307], Statistik [2330]) (Linköpings universitet [276], Tekniska högskolan [1751])","Performance of partial Mann–Kendall tests for trend detection in the presence of covariates","Artikel i tidskrift","Refereegranskat","eng","Environmetrics","1180-4009","1099-095X","published","13","1","","71","84","2002","","","","","","","","","","","10.1002/env.507","","","","urn:nbn:se:liu:diva-47097","","","Covariates;Mann-Kendall tests;Natural fluctuations;Non-parametric tests;Trend detection;Water quality","Samhällsvetenskap (5)","","","","<p>Trend analyses of time series of environmental data are often carried out to assess the human impact on the environment under the influence of natural fluctuations in temperature, precipitation, and other factors that may affect the studied response variable. We examine the performance of partial Mann–Kendall (PMK) tests, i.e. trend tests in which the critical region is determined by the conditional distribution of one Mann-Kendall (MK) statistic for monotone trend, given a set of other MK statistics. In particular, we examine the impact of incorporating information regarding covariates in the Hirsch–Slack test for trends in serially correlated data collected over several seasons. Monte Carlo simulation of the performance of PMK tests demonstrates that the gain in power due to incorporation of relevant covariates can be large compared to the loss in power caused by irrelevant covariates. Furthermore, we have found that the asymptotic normality of the test statistics in such tests enables rapid and reliable determination of critical regions, unless the sample size is very small (<em>n</em> &lt; 10) or the different MK statistics are very strongly correlated. A case study of water quality trends shows that PMK tests can detect and correct for rather complex relationships between river water quality and water discharge. The generic character of the PMK tests makes them particularly useful for scanning large sets of data for temporal trends.</p>","","","","","","","","","","","","","2009-10-11","2009-10-11","2017-12-13","","","2","","deprecated","urn:nbn:se:liu:diva-22755","","","","","false","","",""
"269783","Wendland, F (Res Ctr Julich, Programme Grp Syst Anal & Technol Evaluat, D-52425 Julich, Germany Linkoping Univ, Dept Math, Div Stat, SE-58183 Linkoping, Sweden NERI, DK-8600 Silkeborg, Denmark);Kunkel, R (Res Ctr Julich, Programme Grp Syst Anal & Technol Evaluat, D-52425 Julich, Germany Linkoping Univ, Dept Math, Div Stat, SE-58183 Linkoping, Sweden NERI, DK-8600 Silkeborg, Denmark);Grimvall, Anders [andgr70] (Linköpings universitet [276], Filosofiska fakulteten [1750]) (Linköpings universitet [276], Matematiska institutionen [307], Statistik [2330]);Kronvang, B (Res Ctr Julich, Programme Grp Syst Anal & Technol Evaluat, D-52425 Julich, Germany Linkoping Univ, Dept Math, Div Stat, SE-58183 Linkoping, Sweden NERI, DK-8600 Silkeborg, Denmark);Muller-Wohlfeil, DI (Res Ctr Julich, Programme Grp Syst Anal & Technol Evaluat, D-52425 Julich, Germany Linkoping Univ, Dept Math, Div Stat, SE-58183 Linkoping, Sweden NERI, DK-8600 Silkeborg, Denmark)","The SOIL-N/WEKU model system - a GIS-supported tool for the assessment and management of diffuse nitrogen leaching at the scale of river basins","Artikel i tidskrift","Refereegranskat","eng","Water Science and Technology","0273-1223","1996-9732","published","45","9","","285","292","2002","","","","","","","","","","","","","","","urn:nbn:se:liu:diva-48887","","","denitrification in groundwater;diffuse nitrogen leaching;GIS - modeling;groundwater residence times","Samhällsvetenskap (5)","","","","<p>The SOIL-N/WEKU model system was developed to estimate groundwater-borne nitrogen inputs into river systems. The core of this model system is composed of a soil nitrogen leaching model (SOIL-N) and a groundwater residence time/denitrification model (WEKU). The application of the model system was carried out in the framework of the EU-project RANR (Regional analysis of subsurface nitrogen retention and its impact on the nitrogen export from land to sea) for a macroscale study river basin in Germany (the Uecker basin, ca. 2,400 km(2)) and a mesoscale study catchment area in Denmark (the Gjern basin, ca. 200 km2). For both catchment areas, the,modelled average nitrogen loads leached into the groundwater were about 40 kg N/ha a, while the remaining groundwater-borne nitrogen intake to rivers was quantified to an average of about 2 kg/ha a. The comparison with observed groundwater-borne riverine nitrogen loads showed a very good agreement, proving the key role nitrogen retention in groundwater plays in the two catchment areas.</p>","","","","","","","","","","","","","2009-10-11","2009-10-11","2017-12-12","","","5","","deprecated","","","","","","false","","",""
