Year,domain-ml-ai,domain-computing,domain-life-sciences,domain-physical-sciences,domain-humanities-social,domain-business-management,domain-sports-entertainment,domain-agnostic,user-explicit,data-numerical,data-textual,data-graph,data-media,data-mixed,data-agnostic,computation-neuralnet,computation-matrix,computation-stats,computation-agnostic,output-under50,output-under500,output-above500,output-na,task-construction,task-debugging,task-representation,task-explanation,task-exploration,task-comparison,visualization-explicit,interaction-techniques,evaluation-computational,evaluation-visual
2007,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1
2008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,1,1,1,1
2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1
2014,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,1,1,0,0,0,0,1,1,0,0,0,0,0,1,1,1,1
2015,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0
2016,3,0,3,0,0,0,0,3,3,3,3,0,3,0,3,0,3,3,3,3,3,3,3,0,0,0,3,3,0,3,3,3,3
2017,4,4,0,0,4,0,0,0,0,0,4,4,0,0,0,4,0,4,0,0,4,0,4,0,0,4,0,4,4,4,4,4,4
2018,13,13,13,0,13,13,0,0,13,13,13,13,0,13,0,13,13,13,13,13,13,0,13,13,0,13,13,13,13,13,13,13,13
2019,12,12,12,0,12,12,0,12,12,12,12,12,0,12,0,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
2020,15,15,15,0,15,15,0,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
2021,23,23,23,0,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23
2022,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39
2023,9,9,9,9,0,9,0,0,9,9,9,9,9,9,0,9,0,0,9,0,9,9,9,9,0,9,9,9,9,9,9,9,9
