PID,Year,DOI,Keywords,Numbers
256043,1998,10.1142/S0218195998000059,Geometric contact searching; orthogonal range searching; experimental evaluation,"['276', '281', '2148', '276', '1751', '276', '296', '2347', '276', '1751', '276', '284', '4011', '276', '1751']"
253785,2000,,,"['276', '1750', '276', '290', '4076', '276', '1751', '276', '295', '2324', '276', '296', '2347', '276', '1751', '276', '1810', '276', '279', '3989']"
22272,2000,,,"['276', '296', '2347', '276', '1751', '276', '296', '2347', '276', '1751', '276', '296', '2347', '276', '1751']"
270392,2000,,,"['276', '296', '2347', '276', '1751', '276', '296', '2347', '276', '1751', '276', '296', '2347', '276', '1751']"
269834,2000,10.1007/10722492_16,group theoretical frames in robotics;vision and neurocomputing;non-linear metrics and linearization;Lie-theory;color vision;invariance,"['276', '296', '6850', '276', '1751']"
270631,2000,,,"['276', '296', '2347', '276', '1751', '276', '296', '2347', '276', '1751']"
268811,2001,10.1103/PhysRevLett.87.255002,,"['276', '296', '2347', '276', '1751', '276', '296', '2347', '276', '1751']"
269353,2002,10.1007/3-540-45757-7_6,,"['276', '296', '6850', '276', '1751']"
267794,2002,10.1016/S1571-0661(04)80589-9,,"['276', '296', '2347', '276', '1751', '276', '1751', '276', '281', '2174']"
360349,2002,10.1016/S1571-0661(04)80589-9,,"['276', '296', '2347', '276', '1751', '276', '281', '2174', '276', '1751']"
269309,2002,10.1007/3-540-45813-1_26,,"['276', '296', '2347', '276', '1751', '276', '281', '2174', '276', '1751']"
269567,2002,10.1007/3-540-36388-2_17,,"['276', '296', '2347', '276', '1751']"
268005,2002,10.1109/TPS.2002.1003902,Chaos;Current sheets;Single particle dynamics;Virtual reality,"['276', '296', '2347', '276', '1751', '276', '296', '2347', '276', '1751']"
820189,2002,10.1109/TPS.2002.1003902,Chaos;Current sheets;Single particle dynamics;Virtual reality,"['276', '296', '6850', '276', '872902', '276', '3801', '276', '296', '6850', '276', '872902']"
370722,2002,,Rogh sets;logic programming,"['276', '281', '2174', '276', '1751', '276', '296', '2347', '276', '1751']"
267830,2002,10.1088/0029-5515/42/8/307,,"['276', '296', '2347', '276', '1751']"
328434,2002,,,"['276', '296', '2347', '276', '1751', '276', '296', '276', '1751', '276', '296', '276', '1751', '276', '296', '276', '1751']"
23451,2002,,,"['276', '296', '2347', '276', '1751', '276', '296', '2347', '276', '1751', '276', '296', '2346', '276', '1751']"
268015,2002,10.1109/TPS.2002.1003903,Numerical simulations;Visualization;Wave-particle interaction,"['276', '296', '2347', '276', '1751', '276', '296', '2347', '276', '1751', '276', '296', '2347', '276', '1751']"
269547,2002,10.1007/3-540-36109-X_13,,"['276', '296', '2347', '276', '1751', '276', '296', '2347', '276', '1751']"
20897,2003,,system theory;telecommunication systems;framework;Activity Domain Theory,"['276', '296', '2347', '276', '1751']"
269334,2003,10.1007/978-3-540-24580-3_44,,"['276', '296', '2347', '276', '1751', '276', '296', '276', '1751']"
257021,2003,,,"['276', '296', '2347', '276', '1751', '276', '1751', '276', '296']"
133592,2003,,,"['276', '296', '2347', '276', '1751']"
20595,2003,10.1117/12.473931,Artificial neural networks;Image Synthesis;Principal Component Analysis;Weather Prediction Data,"['276', '296', '276', '1751', '276', '296', '2347', '276', '1751', '276', '296', '2346', '276', '1751']"
242629,2003,,rough sets;logic programming;stable models;uncertain reasoning;incomplete reasoning,"['276', '296', '2347', '276', '1751', '276', '1751', '276', '281', '2174']"
269536,2003,10.1007/3-540-36524-9_7,,"['276', '296', '2347', '276', '1751']"
269493,2003,10.1007/3-540-39205-X_25,rough sets;logic programming;stable models;uncertain reasoning,"['276', '296', '2347', '276', '1751', '276', '281', '276', '1751']"
327643,2003,10.1145/604471.604527,Image-based rendering lighting;lightelds;realtime rendering;lightmaps,"['276', '296', '2347', '276', '1751', '276', '296', '276', '1751', '276', '296', '276', '1751']"
20596,2003,,,"['276', '296', '276', '1751', '276', '296', '2347', '276', '1751', '276', '296', '2346', '276', '1751']"
267337,2003,10.1016/S0167-739X(03)00085-2,Computational techniques;Geographic and disciplinary network;Graduate school;NGSSC,"['276', '296', '2347', '276', '1751']"
264341,2004,,,"['276', '296', '2347', '276', '1751']"
249212,2004,,,"['276', '296', '2347', '276', '1751']"
242813,2004,,,"['276', '296', '2347', '276', '1751', '276', '296', '2347', '276', '1751', '276', '296', '2347', '276', '1751']"
133594,2004,,,"['276', '296', '2347', '276', '1751', '276', '296', '2347', '276', '1751']"
264340,2004,,,"['276', '296', '2347', '276', '1751']"
242799,2004,10.1016/j.jal.2004.07.002,Abductive reasoning;Common-sense reasoning;Epistemic agents;Logic Programming;Non-monotonic reasoning,"['276', '296', '2347', '276', '1751']"
20598,2004,10.1117/12.526829,Artificial Neural Networks;Image Synthesis;Satellite Data;Weather Prediction Data,"['276', '296', '276', '1751', '276', '296', '2347', '276', '1751', '276', '296', '2346', '276', '1751']"
243030,2004,,,"['276', '296', '2347', '276', '1751', '276', '296', '2347', '276', '1751']"
267177,2004,10.1103/PhysRevLett.92.065006,,"['276', '296', '2347', '276', '1751', '276', '296', '2347', '276', '1751']"
243037,2004,,,"['276', '296', '2347', '276', '1751', '276', '1751', '276', '296']"
242808,2004,,,"['276', '296', '2347', '276', '1751']"
244384,2004,10.1115/1.1740775,Virtual Reality;Design Representations;Learning;Digital Mock-up;Man Machine Interaction;Virtual Environment;Display;Interface,"['276', '284', '4016', '276', '1751', '276', '296', '2347', '276', '1751']"
243034,2004,,,"['276', '296', '2347', '276', '1751', '276', '296', '2347', '276', '1751']"
18057,2004,10.1109/CDC.2004.1429613,System identification;Time-varying systems;Visualization techniques,"['276', '296', '2347', '276', '1751', '276', '295', '2324', '276', '1751', '276', '296', '2347', '276', '1751', '276', '295', '2324', '276', '1751']"
243035,2004,10.1109/INFVIS.2004.42,System identification;Interactive visualization;Model validation,"['276', '295', '2324', '276', '1751', '276', '296', '2347', '276', '1751', '276', '296', '2347', '276', '1751', '276', '296', '2347', '276', '1751']"
820191,2004,,,"['276', '296', '6850', '276', '872902', '276', '3801', '276', '296', '6850', '276', '872902', '276', '3801', '276', '295', '2324', '276', '872902', '276', '3801', '276', '296', '6850', '276', '872902', '276', '3801']"
