Year,natural language processing,voyage analysis,color difference,pic simulation,magnetic resonance imaging,science education,effective coverage map,whole slide imaging,ellipses,rendering,life science,cancer,local illumination,machine learning,conceptual understanding,active illumination,shadowing,higher education,natural selection,data visualization,optical dot gain,information visualization,visual analytics,turbulent kinetic energy,pair plasma,user study,color print reproduction,digital pathology,single point active alignment method,high dynamic range imaging,multi-channel printing,robustness,multimedia systems,head-mounted display,web-enable visualization,visualization,visualization design and evaluation methods,relativistic jet,digital tablets,visual literacy,adolescents,social media,visualization techniques,safety ii,computers and society,resilience,external representations,computer graphics,emissive tissues,interaction design,torchlight,evolution,plane estimation,plasma shock,protein-ligand docking,optical pattern recognition,high dynamic range video,usability evaluation,technology teachers,ensemble learning,pathfinding,deep learning,situation awareness,scientific visualization,neural networks,volume rendering,eye-tracking,multimedia information systems,medical visualization,visual data exploration and analysis,image based lighting,layered component architecture,volumetric ambient occlusion,air traffic control,human-automation collaboration,shading,teamwork,shock,automation,attitudes,human-centered computing,ai,privacy,collisionless plasma,lymph nodes,geovisual analytics,spatio-temporal data,computational fluid dynamics,interaction,digital design,media design,color prediction,augmented reality,video see-through,children,haptics,computer science,tone mapping,storytelling,multiple-linked views,artificial intelligence,visualization application domains,user interfaces and human computer interaction,interaction techniques,virtual reality,molecular life science,science education research,flow mapping,multivariate,self-disclosure,technology education,calibration,virtual treatment,direct linear transform,web-enabled visualization toolkit,user-perspective,colon,evaluation,behavior networks,threshold concepts,authentic learning,text visualization,histopathology,graininess,domain shift,sonification,parallel coordinates,pathology,educational technology,large eddy simulation,emotions,user evaluation,ipads,dot gain,pose estimation,jnd,upper secondary school
2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,0,0,0,1,0,0,0,0,2,0,1,0,2,0,0,2,2,0,0,0,2,3,0,0,0,0,1,0,0,0,0,2,0,2,0,3,0,0,0,1,0,0,0,0,0,0,1,0,2,1,2,0,2,1,1,0,0,0,0,0,1,0,0,0,0,2,0,0,2,0,0,0,2,1,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,2,0,2,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,1,0
2011,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,4,0,0,0,0,0,0,2,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,2,1,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,3,2,0,0,0,1,1,2,0,0,1,2,0,1,1,0,0,1,0,0,0,0,2,2,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0
2012,0,0,1,0,1,0,2,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,2,0,0,3,0,0,0,0,0,0,0,0,2,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,5,0,2,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,1,1,0,1,2,0,0,0,0,2,0,2,1,4,0,2,1,1,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
