Year,air,vision,artificial,architectur,information visualization,light,human-cent,visual,automation,deep,application,machine learning,comput,sonification,machine,space,color,inform,astrophys,shock,systems,simulation,analyt,data,management,interact,digital,wave,plasma,imaging,trac,virtual,interfac,science,educ,methods,patholog,[computer,scientific,evaluation,physic,intelligence,image,analysis,graphics]:,realiti,video,traffic,method,activ,computer,user,computers,augmented,rendering,technology,visual analytics,domains,supernova,graphic,volume,remnants,learn,theori,haptic,visualization,control,pic,temperature,development,design
1998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2002,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2003,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2004,0,0,2,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,2,0,2,1,1,1,1,0,1,1,0,0,0,0,0,0,0,1,0,3,1,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,1,0,1,0,0,2,0,0,0,0,2
2005,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,1,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,2,0,0,0,0,0,1,2,0,0,0,2,0,0,0,0,0,1
2006,0,2,0,0,0,1,0,8,0,0,0,0,4,0,0,0,0,0,0,0,1,0,0,2,0,2,0,0,10,3,0,2,0,3,3,0,0,0,1,0,11,0,6,0,0,0,1,0,1,1,3,1,0,1,4,0,0,0,0,2,6,0,0,0,4,8,0,1,0,2,1
2007,0,3,1,0,0,2,0,9,0,0,0,0,5,0,0,0,0,0,0,0,1,1,0,2,0,7,0,1,5,4,0,5,2,4,4,0,0,0,1,2,4,1,4,0,0,0,1,0,0,0,5,2,0,4,3,0,0,0,0,4,4,0,0,0,6,9,0,0,0,1,0
2008,1,0,0,0,1,0,0,13,0,0,0,0,1,0,0,0,1,3,0,0,0,0,3,6,0,1,0,0,5,0,0,2,5,4,3,0,0,0,1,2,5,0,2,4,0,0,0,1,0,1,1,4,0,5,1,0,3,0,0,4,3,0,1,0,4,9,1,3,0,1,0
