,PID,Name,Title,PublicationType,ContentType,Language,Journal,JournalISSN,JournalEISSN,Status,Volume,Issue,HostPublication,StartPage,EndPage,Year,Edition,Pages,City,Publisher,Series,SeriesISSN,SeriesEISSN,ISBN,Urls,ISRN,DOI,ISI,PMID,ScopusId,NBN,LocalId,ArchiveNumber,Keywords,Categories,ResearchSubjects,Projects,Notes,Abstract,Opponents,Supervisors,Examiners,Patent,ThesisLevel,Credits,Programme,Subject,Uppsok,DefencePlace,DefenceLanguage,DefenceDate,CreatedDate,PublicationDate,LastUpdated,FullTextLink,Funder,NumberOfAuthors,ExternalCooperation,FridaLevel,PartOfThesis,PublicationSubtype,Conference,Term,ArticleId,Reviewed,FreeFulltext,SustainableDevelopment,Contributor,Institute,Numbers,ContainsTargetNumbers
632,1464829,"Stacke, Karin [karst38] [0000-0003-1066-3070] (Linköpings universitet [276], Institutionen för teknik och naturvetenskap [296], Medie- och Informationsteknik [6850]) (Linköpings universitet [276], Tekniska fakulteten [872902]);Eilertsen, Gabriel [gabei62] [0000-0002-9217-9997] (Linköpings universitet [276], Institutionen för teknik och naturvetenskap [296], Medie- och Informationsteknik [6850]) (Linköpings universitet [276], Tekniska fakulteten [872902]);Unger, Jonas [jonun48] [0000-0002-7765-1747] (Linköpings universitet [276], Institutionen för teknik och naturvetenskap [296], Medie- och Informationsteknik [6850]) (Linköpings universitet [276], Tekniska fakulteten [872902]);Lundström, Claes [clalu03] [0000-0002-9368-0177] (Linköpings universitet [276], Institutionen för teknik och naturvetenskap [296], Medie- och Informationsteknik [6850]) (Linköpings universitet [276], Tekniska fakulteten [872902]) (Linköpings universitet [276], Centrum för medicinsk bildvetenskap och visualisering, CMIV [3801])",A Closer Look at Domain Shift for Deep Learning in Histopathology,Konferensbidrag,Refereegranskat,eng,,,,,,,,,,2019,,,,,arXiv.org,,,,https://arxiv.org/abs/1909.11575,,,,,,urn:nbn:se:liu:diva-169071,,,['domain shift'],Medicinsk bildbehandling (20603),,,,"<p>Domain shift is a significant problem in histopathology. There can be large differences in data characteristics of whole-slide images between medical centers and scanners, making generalization of deep learning to unseen data difficult. To gain a better understanding of the problem, we present a study on convolutional neural networks trained for tumor classification of H&amp;E stained whole-slide images. We analyze how augmentation and normalization strategies affect performance and learned representations, and what features a trained model respond to. Most centrally, we present a novel measure for evaluating the distance between domains in the context of the learned representation of a particular model. This measure can reveal how sensitive a model is to domain variations, and can be used to detect new data that a model will have problems generalizing to. The results show how learning is heavily influenced by the preparation of training data, and that the latent representation used to do classification is sensitive to changes in data distribution, especially when training without augmentation or normalization.</p>",,,,,,,,,,,,,9/8/2020,9/8/2020,4/3/2023,https://liu.diva-portal.org/smash/get/diva2:1464829/FULLTEXT01.pdf,"Wallenberg AI, Autonomous Systems and Software Program (WASP)",4.0,,deprecated,urn:nbn:se:liu:diva-189009,poster,"COMPAY19: 2nd MICCAI workshop on Computational Pathology, Shenzhen, China, October 13 2019",,,True,,,,"Linköpings universitet [276], Institutionen för teknik och naturvetenskap [296], Medie- och Informationsteknik [6850], Linköpings universitet [276], Tekniska fakulteten [872902], Linköpings universitet [276], Institutionen för teknik och naturvetenskap [296], Medie- och Informationsteknik [6850], Linköpings universitet [276], Tekniska fakulteten [872902], Linköpings universitet [276], Institutionen för teknik och naturvetenskap [296], Medie- och Informationsteknik [6850], Linköpings universitet [276], Tekniska fakulteten [872902], Linköpings universitet [276], Institutionen för teknik och naturvetenskap [296], Medie- och Informationsteknik [6850], Linköpings universitet [276], Tekniska fakulteten [872902], Linköpings universitet [276], Centrum för medicinsk bildvetenskap och visualisering, CMIV [3801]","['276', '296', '6850', '276', '872902', '276', '296', '6850', '276', '872902', '276', '296', '6850', '276', '872902', '276', '296', '6850', '276', '872902', '276', '3801']",True
633,1314913,"Liu, Yu [yuli32] [0000-0002-5742-1266] (Linköpings universitet [276], Institutionen för teknik och naturvetenskap [296], Fysik, elektroteknik och matematik [881757]) (Linköpings universitet [276], Tekniska fakulteten [872902]);Hassan, Kahin Akram [kahak87] (Linköpings universitet [276], Institutionen för teknik och naturvetenskap [296], Medie- och Informationsteknik [6850]) (Linköpings universitet [276], Tekniska fakulteten [872902]);Karlsson, Magnus [magka07] [0000-0002-4136-0817] (Linköpings universitet [276], Tekniska fakulteten [872902]) (Linköpings universitet [276], Institutionen för teknik och naturvetenskap [296], Fysik, elektroteknik och matematik [881757]);Pang, Zhibo (Corporate Research, ABB AB, Västerås, Sweden);Gong, Shaofang [shago75] (Linköpings universitet [276], Tekniska fakulteten [872902]) (Linköpings universitet [276], Institutionen för teknik och naturvetenskap [296], Fysik, elektroteknik och matematik [881757])",A Data-Centric Internet of Things Framework Based on Azure Cloud,Artikel i tidskrift,Refereegranskat,eng,IEEE Access,,2169-3536,published,7,,,53839,53858,2019,,,,IEEE,,,,,,,10.1109/ACCESS.2019.2913224,467000000000.0,,,urn:nbn:se:liu:diva-156704,,,"['cloud', 'wifi', 'interoperability', 'monitoring', 'broadband communication', 'azure', 'wireless fidelity', 'thread', 'lorawan', 'cloud computing', 'protocols']",Data- och informationsvetenskap (102),,,"<p>Funding agencies:  Swedish Environmental Protection Agency; Norrkoping Fund for Research and Development, Sweden</p>","<p>Internet of Things (IoT) has been found pervasive use cases and become a driving force to constitute a digital society. The ultimate goal of IoT is data and the intelligence generated from data. With the progress in public cloud computing technologies, more and more data can be stored, processed and analyzed in cloud to release the power of IoT. However, due to the heterogeneity of hardware and communication protocols in the IoT world, the interoperability and compatibility among different link layer protocols, sub-systems, and back-end services have become a significant challenge to IoT practices. This challenge cannot be addressed by public cloud suppliers since their efforts are mainly put into software and platform services but can hardly be extended to end devices. In this paper, we propose a data-centric IoT framework that incorporates three promising protocols with fundamental security schemes, i.e., WiFi, Thread, and LoRaWAN, to cater to massive IoT and broadband IoT use cases in local, personal, and wide area networks. By taking advantages of the Azure cloud infrastructure, the framework features a unified device management model and data model to conquer the interoperability challenge. We also provide implementation and a case study to validate the framework for practical applications.</p>",,,,,,,,,,,,,5/10/2019,5/10/2019,4/30/2021,https://liu.diva-portal.org/smash/get/diva2:1314913/FULLTEXT01.pdf,,5.0,,deprecated,urn:nbn:se:liu:diva-159770;urn:nbn:se:liu:diva-175383,,,,,False,,,,"Linköpings universitet [276], Institutionen för teknik och naturvetenskap [296], Fysik, elektroteknik och matematik [881757], Linköpings universitet [276], Tekniska fakulteten [872902], Linköpings universitet [276], Institutionen för teknik och naturvetenskap [296], Medie- och Informationsteknik [6850], Linköpings universitet [276], Tekniska fakulteten [872902], Linköpings universitet [276], Tekniska fakulteten [872902], Linköpings universitet [276], Institutionen för teknik och naturvetenskap [296], Fysik, elektroteknik och matematik [881757], Corporate Research, ABB AB, Västerås, Sweden, Linköpings universitet [276], Tekniska fakulteten [872902], Linköpings universitet [276], Institutionen för teknik och naturvetenskap [296], Fysik, elektroteknik och matematik [881757]","['276', '296', '881757', '276', '872902', '276', '296', '6850', '276', '872902', '276', '872902', '276', '296', '881757', '276', '872902', '276', '296', '881757']",True
634,1333611,"Lundberg, Jonas [jonlu41] [0000-0001-8862-7331] (Linköpings universitet [276], Institutionen för teknik och naturvetenskap [296], Medie- och Informationsteknik [6850]) (Linköpings universitet [276], Tekniska fakulteten [872902]);Josefsson, Billy (LFV Air Nav Serv Sweden, Sweden)",A Pragmatic Approach to Uncover Blind Spots in Accident Investigation in Ultra-safe Organizations - A Case Study from Air Traffic Management,Konferensbidrag,Refereegranskat,eng,,,,,778,,"ADVANCES IN HUMAN ERROR, RELIABILITY, RESILIENCE, AND PERFORMANCE",199,210,2019,,,,SPRINGER,Advances in Intelligent Systems and Computing,2194-5357,,978-3-319-94391-6;978-3-319-94390-9,,,10.1007/978-3-319-94391-6_19,466000000000.0,,,urn:nbn:se:liu:diva-158388,,,"['incident investigation', 'safety assessment', 'systematic safety', 'blind-spots', 'contributing factors']",Datorsystem (20206),,,<p>Funding Agencies|Swedish Transport Administration; LFV Safety Department</p>,"<p>For a long time, the aim of safety science has been to further improve safety through more extensive analysis methods (address more factors, with increasingly complex causality models). However, recent research has uncovered how the application of even very advanced methods are subjects to the same pressures of reality of work, as other work tasks, and may therefore also have incidents, where all issues are not examined with equal thoroughness, and not implemented with the same enthusiasm. Some of these performance shaping factors may be systemic, affecting many investigations, resulting in investigation ""blind spots"". This can facilitate the build-up of latent risk conditions in otherwise ultra-safe organizations, resulting in what is in the literature called a man-made disaster (or, less dramatically, a man-made incident). In this paper, we present an approach to uncovering ""blind spots"" in investigation processes, describing how it was applied at an Air Navigation Service provider.</p>",,,,,,,,,,,,,7/1/2019,7/1/2019,7/1/2019,,,2.0,,deprecated,,publishedPaper,"9th International Conference on Applied Human Factors and Ergonomics and the Affiliated Conferences (AHFE) / 2nd International Conference on Human Error, Reliability, Resilience, and Performance (HERRP)",,,False,,,,"Linköpings universitet [276], Institutionen för teknik och naturvetenskap [296], Medie- och Informationsteknik [6850], Linköpings universitet [276], Tekniska fakulteten [872902], LFV Air Nav Serv Sweden, Sweden","['276', '296', '6850', '276', '872902']",True
635,1338430,"Hassan, Kahin Akram [kahak87] (Linköpings universitet [276], Institutionen för teknik och naturvetenskap [296], Medie- och Informationsteknik [6850]) (Linköpings universitet [276], Tekniska fakulteten [872902]) (Information Visualization);Rönnberg, Niklas [nikro27] (Linköpings universitet [276], Institutionen för teknik och naturvetenskap [296], Medie- och Informationsteknik [6850]) (Linköpings universitet [276], Tekniska fakulteten [872902]) (Information Visualization);Forsell, Camilla [camfo15] (Linköpings universitet [276], Institutionen för teknik och naturvetenskap [296], Medie- och Informationsteknik [6850]) (Linköpings universitet [276], Tekniska fakulteten [872902]) (Information Visualization);Cooper, Matthew [matco34] (Linköpings universitet [276], Institutionen för teknik och naturvetenskap [296], Medie- och Informationsteknik [6850]) (Linköpings universitet [276], Tekniska fakulteten [872902]) (Information Visualization);Johansson, Jimmy [jimjo94] (Linköpings universitet [276], Institutionen för teknik och naturvetenskap [296], Medie- och Informationsteknik [6850]) (Linköpings universitet [276], Tekniska fakulteten [872902]) (Linköpings universitet [276], Centrum för klimatpolitisk forskning, CSPR [875750]) (Information Visualization)",A Study on 2D and 3D Parallel Coordinates for Pattern Identification in Temporal Multivariate Data,Konferensbidrag,Refereegranskat,eng,,,,,,,,145,150,2019,,,IV 2019,IEEE conference proceedings,IEEE International Conference on Information Visualisation,2375-0138,,978-1-7281-2838-2,,,10.1109/IV.2019.00033,507000000000.0,,,urn:nbn:se:liu:diva-159079,,,"['2d parallel coordinates', 'user evaluation']",Data- och informationsvetenskap (102),,,,"<p>Parallel coordinates are commonly used for non-temporal multivariate data, but there is little support for their usability for displaying temporal multivariate data. In this paper, we introduce a study evaluating the usability of 2D and 3D parallel coordinates for pattern identification in temporal multivariate data. The results indicate that 3D parallel coordinates have higher usability, as measured with higher accuracy and faster response time as well as subjective ratings, compared to 2D.</p>",,,,,,,,,,,,,7/22/2019,7/22/2019,11/14/2021,,,5.0,,deprecated,urn:nbn:se:liu:diva-173609,publishedPaper,2019 23rd International Conference Information Visualization (IV),,,False,,,,"Linköpings universitet [276], Institutionen för teknik och naturvetenskap [296], Medie- och Informationsteknik [6850], Linköpings universitet [276], Tekniska fakulteten [872902], Information Visualization, Linköpings universitet [276], Institutionen för teknik och naturvetenskap [296], Medie- och Informationsteknik [6850], Linköpings universitet [276], Tekniska fakulteten [872902], Information Visualization, Linköpings universitet [276], Institutionen för teknik och naturvetenskap [296], Medie- och Informationsteknik [6850], Linköpings universitet [276], Tekniska fakulteten [872902], Information Visualization, Linköpings universitet [276], Institutionen för teknik och naturvetenskap [296], Medie- och Informationsteknik [6850], Linköpings universitet [276], Tekniska fakulteten [872902], Information Visualization, Linköpings universitet [276], Institutionen för teknik och naturvetenskap [296], Medie- och Informationsteknik [6850], Linköpings universitet [276], Tekniska fakulteten [872902], Linköpings universitet [276], Centrum för klimatpolitisk forskning, CSPR [875750], Information Visualization","['276', '296', '6850', '276', '872902', '276', '296', '6850', '276', '872902', '276', '296', '6850', '276', '872902', '276', '296', '6850', '276', '872902', '276', '296', '6850', '276', '872902', '276', '875750']",True
636,1317560,"Hassan, Kahin Akram [kahak87] (Linköpings universitet [276], Institutionen för teknik och naturvetenskap [296], Medie- och Informationsteknik [6850]) (Linköpings universitet [276], Tekniska fakulteten [872902]);Liu, Yu [yuli32] [0000-0002-5742-1266] (Linköpings universitet [276], Institutionen för teknik och naturvetenskap [296], Fysik, elektroteknik och matematik [881757]) (Linköpings universitet [276], Tekniska fakulteten [872902]);Besançon, Lonni [lonbe19] (Linköpings universitet [276], Institutionen för teknik och naturvetenskap [296], Medie- och Informationsteknik [6850]) (Linköpings universitet [276], Tekniska fakulteten [872902]);Johansson, Jimmy [jimjo94] (Linköpings universitet [276], Institutionen för teknik och naturvetenskap [296], Medie- och Informationsteknik [6850]) (Linköpings universitet [276], Tekniska fakulteten [872902]) (Linköpings universitet [276], Centrum för klimatpolitisk forskning, CSPR [875750]);Rönnberg, Niklas [nikro27] (Linköpings universitet [276], Institutionen för teknik och naturvetenskap [296], Medie- och Informationsteknik [6850]) (Linköpings universitet [276], Tekniska fakulteten [872902])",A Study on Visual Representations for Active Plant Wall Data Analysis,Artikel i tidskrift,Refereegranskat,eng,DATA,,2306-5729,published,4,2,,,,2019,,,,MDPI,,,,,,,10.3390/data4020074,475000000000.0,,,urn:nbn:se:liu:diva-157027,,,"['active plant walls', 'qualitative evaluation', 'tidsvarierande multivariate data', 'kvalitativ utvärdering', 'temporal multivariate data']",Data- och informationsvetenskap (102),,,,"<p>The indoor climate is closely related to human health, well-being, and comfort. Thus, an understanding of the indoor climate is vital. One way to improve the indoor climates is to place an aesthetically pleasing active plant wall in the environment. By collecting data using sensors placed in and around the plant wall both the indoor climate and the status of the plant wall can be monitored and analyzed. This manuscript presents a user study with domain experts in this field with a focus on the representation of such data. The experts explored this data with a Line graph, a Horizon graph, and a Stacked area graph to better understand the status of the active plant wall and the indoor climate. Qualitative measures were collected with Think-aloud protocol and semi-structured interviews. The study resulted in four categories of analysis tasks: Overview, Detail, Perception, and Complexity. The Line graph was found to be preferred for use in providing an overview, and the Horizon graph for detailed analysis, revealing patterns and showing discernible trends, while the Stacked area graph was generally not preferred. Based on these findings, directions for future research are discussed and formulated. The results and future directions of this research can facilitate the analysis of multivariate temporal data, both for domain users and visualization researchers.</p>",,,,,,,,,,,,,5/23/2019,5/23/2019,2/26/2021,https://liu.diva-portal.org/smash/get/diva2:1317560/FULLTEXT01.pdf,,5.0,,deprecated,urn:nbn:se:liu:diva-159770;urn:nbn:se:liu:diva-173609,,,,74,True,True,,,"Linköpings universitet [276], Institutionen för teknik och naturvetenskap [296], Medie- och Informationsteknik [6850], Linköpings universitet [276], Tekniska fakulteten [872902], Linköpings universitet [276], Institutionen för teknik och naturvetenskap [296], Fysik, elektroteknik och matematik [881757], Linköpings universitet [276], Tekniska fakulteten [872902], Linköpings universitet [276], Institutionen för teknik och naturvetenskap [296], Medie- och Informationsteknik [6850], Linköpings universitet [276], Tekniska fakulteten [872902], Linköpings universitet [276], Institutionen för teknik och naturvetenskap [296], Medie- och Informationsteknik [6850], Linköpings universitet [276], Tekniska fakulteten [872902], Linköpings universitet [276], Centrum för klimatpolitisk forskning, CSPR [875750], Linköpings universitet [276], Institutionen för teknik och naturvetenskap [296], Medie- och Informationsteknik [6850], Linköpings universitet [276], Tekniska fakulteten [872902]","['276', '296', '6850', '276', '872902', '276', '296', '881757', '276', '872902', '276', '296', '6850', '276', '872902', '276', '296', '6850', '276', '872902', '276', '875750', '276', '296', '6850', '276', '872902']",True
637,1328997,"Miandji, Ehsan [miaeh27] (Linköpings universitet [276], Institutionen för teknik och naturvetenskap [296], Medie- och Informationsteknik [6850]) (Linköpings universitet [276], Tekniska fakulteten [872902]);Hajisharif, Saghi [sagha08] (Linköpings universitet [276], Institutionen för teknik och naturvetenskap [296], Medie- och Informationsteknik [6850]) (Linköpings universitet [276], Tekniska fakulteten [872902]);Unger, Jonas [jonun48] [0000-0002-7765-1747] (Linköpings universitet [276], Institutionen för teknik och naturvetenskap [296], Medie- och Informationsteknik [6850]) (Linköpings universitet [276], Tekniska fakulteten [872902])",A Unified Framework for Compression and Compressed Sensing of Light Fields and Light Field Videos,Artikel i tidskrift,Refereegranskat,eng,ACM Transactions on Graphics,0730-0301,1557-7368,published,38,3,,1,18,2019,,,,ACM Digital Library,,,,,,,10.1145/3269980,495000000000.0,,,urn:nbn:se:liu:diva-158026,,,"['dictionary learning', 'light field photography', 'light field video compression']",Data- och informationsvetenskap (102),,,,"<p>In this article we present a novel dictionary learning framework designed for compression and sampling of light fields and light field videos. Unlike previous methods, where a single dictionary with one-dimensional atoms is learned, we propose to train a Multidimensional Dictionary Ensemble (MDE). It is shown that learning an ensemble in the native dimensionality of the data promotes sparsity, hence increasing the compression ratio and sampling efficiency. To make maximum use of correlations within the light field data sets, we also introduce a novel nonlocal pre-clustering approach that constructs an Aggregate MDE (AMDE). The pre-clustering not only improves the image quality but also reduces the training time by an order of magnitude in most cases. The decoding algorithm supports efficient local reconstruction of the compressed data, which enables efficient real-time playback of high-resolution light field videos. Moreover, we discuss the application of AMDE for compressed sensing. A theoretical analysis is presented that indicates the required conditions for exact recovery of point-sampled light fields that are sparse under AMDE. The analysis provides guidelines for designing efficient compressive light field cameras. We use various synthetic and natural light field and light field video data sets to demonstrate the utility of our approach in comparison with the state-of-the-art learning-based dictionaries, as well as established analytical dictionaries.</p>",,,,,,,,,,,,,6/24/2019,6/24/2019,2/18/2020,https://liu.diva-portal.org/smash/get/diva2:1328997/FULLTEXT01.pdf,,3.0,,deprecated,urn:nbn:se:liu:diva-163693,,,,23,True,,,,"Linköpings universitet [276], Institutionen för teknik och naturvetenskap [296], Medie- och Informationsteknik [6850], Linköpings universitet [276], Tekniska fakulteten [872902], Linköpings universitet [276], Institutionen för teknik och naturvetenskap [296], Medie- och Informationsteknik [6850], Linköpings universitet [276], Tekniska fakulteten [872902], Linköpings universitet [276], Institutionen för teknik och naturvetenskap [296], Medie- och Informationsteknik [6850], Linköpings universitet [276], Tekniska fakulteten [872902]","['276', '296', '6850', '276', '872902', '276', '296', '6850', '276', '872902', '276', '296', '6850', '276', '872902']",True
638,1692238,"Wang, Xiyao (Inria, France);Besançon, Lonni [lonbe19] (Linköpings universitet [276], Institutionen för teknik och naturvetenskap [296], Medie- och Informationsteknik [6850]) (Linköpings universitet [276], Tekniska fakulteten [872902]);Guéniat, Florimond (Birmingham City University UK);Sereno, Mickael (Inria, France);Ammi, Mehdi (University of Paris. France);Isenberg, Tobias (Inria, France)",A Vision of Bringing Immersive Visualization to Scientific Workflows,Konferensbidrag,Övrigt vetenskapligt,eng,,,,,,,,,,2019,,,,ACM Publications,,,,,,,,,,,urn:nbn:se:liu:diva-187985,,,"['applications', 'immersive analytics']",Människa-datorinteraktion (interaktionsdesign) (10204),,,,"<p>The process of data exploration is becoming an essential part of today’s scientific workflows. A large number of immersive visualization environments are being explored to help researchers and experts to better understand the data and to offer intuitive interaction. Despite these benefits, shown by prior research, it is still uncommon to find them being applied to realistic scientific workflows. We arguethat immersive visualization techniques will not be adopted until they can be easily integrated in the workflow of domain experts, and that specific efforts should be made to help the integration of novel and immersive visualization techniques with classically used software. </p>",,,,,,,,,,,,,9/1/2022,9/1/2022,5/22/2023,,,6.0,,deprecated,,poster,"CHI 2019 Workshop on Immersive Analytics (CHI-IA 2019), May 2019, Glasgow, UK",,,False,,,,"Inria, France, Linköpings universitet [276], Institutionen för teknik och naturvetenskap [296], Medie- och Informationsteknik [6850], Linköpings universitet [276], Tekniska fakulteten [872902], Birmingham City University UK, Inria, France, University of Paris. France, Inria, France","['276', '296', '6850', '276', '872902']",True
640,1504962,"Nylin, Magnus [magny39] [0000-0002-7917-5924] (Linköpings universitet [276], Institutionen för teknik och naturvetenskap [296], Medie- och Informationsteknik [6850]) (Linköpings universitet [276], Tekniska fakulteten [872902])",Adaptive Automation through Interactive Visualization,Konferensbidrag,Refereegranskat,eng,,,,,,,PROCEEDINGS OF THE 31ST EUROPEAN CONFERENCE ON COGNITIVE ERGONOMICS: DESIGN FOR COGNITION (ECCE 2019),26,27,2019,,,,ASSOC COMPUTING MACHINERY,,,,978-1-4503-7166-7,,,10.1145/3335082.3335123,588000000000.0,,,urn:nbn:se:liu:diva-171693,,,['adaptive automation'],Människa-datorinteraktion (interaktionsdesign) (10204),,,,"<p>My main research question is how adaptive automation through interactive visualization can be used to improve human-automation collaboration. The research is performed in a cross-domain project including air traffic control, train control, and vessel traffic service, where I mainly focus at air traffic control. All domains are safety critical, include highly complex control room environments, and are facing increasing automation with thereby associated challenges. Adaptive automation by sensing the operator is one approach to mitigate potential automation problems. The first studies will be performed using a prototype with a graphical representation of an automated conflict detection tool where the operator gets visual attention support based on eye tracker data. Different concepts of information visualization feedback will be explored. A literature review on adaptive automation indicated that the projects approach is novel in its combination of adaptive automation, information visualization, and by its cross-domain nature. Finding the best ways of taking advantage of the cross-domain approach, how to get access to operative environments and operators, and how to find effective, yet unobtrusive, sensors are some of the identified challenges.</p>",,,,,,,,,,,,,11/30/2020,11/30/2020,12/28/2021,,,1.0,,deprecated,,publishedPaper,"31st Annual European Conference on Cognitive Ergonomics - Design for Cognition (ECCE), Ulster Univ, Belfast, NORTH IRELAND, sep 10-13, 2019",,,False,,,,"Linköpings universitet [276], Institutionen för teknik och naturvetenskap [296], Medie- och Informationsteknik [6850], Linköpings universitet [276], Tekniska fakulteten [872902]","['276', '296', '6850', '276', '872902']",True
641,1290538,"Valsangkar, Akash Anil (Indian Inst Sci, India);Monteiro, Joy Merwin (Stockholm Univ, Sweden);Narayanan, Vidya (Carnegie Mellon Univ, PA 15213 USA);Hotz, Ingrid [ingho32] [0000-0001-7285-0483] (Linköpings universitet [276], Institutionen för teknik och naturvetenskap [296], Medie- och Informationsteknik [6850]) (Linköpings universitet [276], Tekniska fakulteten [872902]);Natarajan, Vijay (Indian Inst Sci, India)",An Exploratory Framework for Cyclone Identification and Tracking,Artikel i tidskrift,Refereegranskat,eng,IEEE Transactions on Visualization and Computer Graphics,1077-2626,1941-0506,published,25,3,,1460,1473,2019,,,,IEEE COMPUTER SOC,,,,,,,10.1109/TVCG.2018.2810068,458000000000.0,29993808.0,,urn:nbn:se:liu:diva-154536,,,"['spatio-temporal clustering', 'track graph', 'time-varying data', 'scalar field', 'cyclone', 'tracking']",Annan data- och informationsvetenskap (10299),,,"<p>Funding Agencies|Department of Science and Technology, India [DST/SJF/ETA-02/2015-16]; Joint Advanced Technology Programme, Indian Institute of Science [JATP/RG/PROJ/2015/16]; Swedish e-Science Research Center (SeRC)</p>","<p>Analyzing depressions plays an important role in meteorology, especially in the study of cyclones. In particular, the study of the temporal evolution of cyclones requires a robust depression tracking framework. To cope with this demand we propose a pipeline for the exploration of cyclones and their temporal evolution. This entails a generic framework for their identification and tracking. The fact that depressions and cyclones are not well-defined objects and their shape and size characteristics change over time makes this task especially challenging. Our method combines the robustness of topological approaches and the detailed tracking information from optical flow analysis. At first cyclones are identified within each time step based on well-established topological concepts. Then candidate tracks are computed from an optical flow field. These tracks are clustered within a moving time window to distill dominant coherent cyclone movements, which are then forwarded to a final tracking step. In contrast to previous methods our method requires only a few intuitive parameters. An integration into an exploratory framework helps in the study of cyclone movement by identifying smooth, representative tracks. Multiple case studies demonstrate the effectiveness of the method in tracking cyclones, both in the northern and southern hemisphere.</p>",,,,,,,,,,,,,2/20/2019,2/20/2019,2/20/2019,,,5.0,,deprecated,,,,,,False,,,,"Indian Inst Sci, India, Stockholm Univ, Sweden, Carnegie Mellon Univ, PA 15213 USA, Linköpings universitet [276], Institutionen för teknik och naturvetenskap [296], Medie- och Informationsteknik [6850], Linköpings universitet [276], Tekniska fakulteten [872902], Indian Inst Sci, India","['276', '296', '6850', '276', '872902']",True
642,1361634,"Muthumanickam, Prithiviraj [prika90] (Linköpings universitet [276], Institutionen för teknik och naturvetenskap [296], Medie- och Informationsteknik [6850]) (Linköpings universitet [276], Tekniska fakulteten [872902]) (Information Visualization);Nordman, Aida [aidvi05] (Linköpings universitet [276], Institutionen för teknik och naturvetenskap [296], Medie- och Informationsteknik [6850]) (Linköpings universitet [276], Tekniska fakulteten [872902]);Meyer, Lothar (LFV, Sweden);Boonsong, Supathida (LFV, Sweden);Lundberg, Jonas [jonlu41] [0000-0001-8862-7331] (Linköpings universitet [276], Institutionen för teknik och naturvetenskap [296], Medie- och Informationsteknik [6850]) (Linköpings universitet [276], Tekniska fakulteten [872902]);Cooper, Matthew [matco34] (Linköpings universitet [276], Institutionen för teknik och naturvetenskap [296], Medie- och Informationsteknik [6850]) (Linköpings universitet [276], Tekniska fakulteten [872902])",Analysis of Long Duration Eye-Tracking Experiments in a Remote Tower Environment,Konferensbidrag,Refereegranskat,eng,,,,,,,"13th USA/Europe Air Traffic Management Research and Development Seminar 2019 : Proceedings of a meeting held 17-21 June 2019, Vienna, Austria.",,,2019,,,,EUROCONTROL,,,,9.78E+12,,,,,,2-s2.0-85084023193,urn:nbn:se:liu:diva-160959,,,"['remote tower', 'spatio-temporal clustering']",Mediateknik (21102),,,,"<p>Eye-Tracking experiments have proven to be of great assistance in understanding human computer interaction across many fields. Most eye-tracking experiments are non-intrusive and so do not affect the behaviour of the subject. Such experiments usually last for just a few minutes and so the spatio- temporal data generated by the eye-tracker is quite easy to analyze using simple visualization techniques such as heat maps and animation. Eye tracking experiments in air traffic control, or maritime or driving simulators can, however, last for several hours and the analysis of such long duration data becomes much more complex. We have developed an analysis pipeline, where we identify visual spatial areas of attention over a user interface using clustering and hierarchical cluster merging techniques. We have tested this technique on eye tracking datasets generated by air traffic controllers working with Swedish air navigation services, where each eye tracking experiment lasted for ?90 minutes. We found that our method is interactive and effective in identification of interesting patterns of visual attention that would have been very difficult to locate using manual analysis.</p>",,,,,,,,,,,,,10/16/2019,10/16/2019,9/29/2021,,Trafikverket;Vetenskapsrådet,6.0,,deprecated,urn:nbn:se:liu:diva-162220,publishedPaper,"Thirteenth USA/Europe Air Traffic Management Research and Development Seminar (ATM2019), Vienna, Austria, June 17-21, 2019",,,True,,,,"Linköpings universitet [276], Institutionen för teknik och naturvetenskap [296], Medie- och Informationsteknik [6850], Linköpings universitet [276], Tekniska fakulteten [872902], Information Visualization, Linköpings universitet [276], Institutionen för teknik och naturvetenskap [296], Medie- och Informationsteknik [6850], Linköpings universitet [276], Tekniska fakulteten [872902], LFV, Sweden, LFV, Sweden, Linköpings universitet [276], Institutionen för teknik och naturvetenskap [296], Medie- och Informationsteknik [6850], Linköpings universitet [276], Tekniska fakulteten [872902], Linköpings universitet [276], Institutionen för teknik och naturvetenskap [296], Medie- och Informationsteknik [6850], Linköpings universitet [276], Tekniska fakulteten [872902]","['276', '296', '6850', '276', '872902', '276', '296', '6850', '276', '872902', '276', '296', '6850', '276', '872902', '276', '296', '6850', '276', '872902']",True
