,PID,Name,Title,PublicationType,ContentType,Language,Journal,JournalISSN,JournalEISSN,Status,Volume,Issue,HostPublication,StartPage,EndPage,Year,Edition,Pages,City,Publisher,Series,SeriesISSN,SeriesEISSN,ISBN,Urls,ISRN,DOI,ISI,PMID,ScopusId,NBN,LocalId,ArchiveNumber,Keywords,Categories,ResearchSubjects,Projects,Notes,Abstract,Opponents,Supervisors,Examiners,Patent,ThesisLevel,Credits,Programme,Subject,Uppsok,DefencePlace,DefenceLanguage,DefenceDate,CreatedDate,PublicationDate,LastUpdated,FullTextLink,Funder,NumberOfAuthors,ExternalCooperation,FridaLevel,PartOfThesis,PublicationSubtype,Conference,Term,ArticleId,Reviewed,FreeFulltext,SustainableDevelopment,Contributor,Institute,Numbers
4543,1266565,"Sodhro, Ali Hassan [aliso78] [0000-0001-5502-530X] (Linköpings universitet [276], Institutionen för datavetenskap [281], Databas och informationsteknik [11105]) (Linköpings universitet [276], Tekniska fakulteten [872902]) ( Electrical Engineering Department Sukkur IBA,  Pakistan);Pirbhulal, Sandeep (CAS, SIAT, Shenzhen, China );Sodhro, Gul Hassan (Physics Shah Abdul Latif, Pakistan );Gurtov, Andrei [andgu38] [0000-0002-9829-9287] (Linköpings universitet [276], Institutionen för datavetenskap [281], Databas och informationsteknik [11105]) (Linköpings universitet [276], Tekniska fakulteten [872902]);Muzamal, Muhammad (Department of Computer Science Bahria University, Pakistan);Luo, Zongwei (Shenzhen Key Laboratory of Computational Intelligence, China )",A Joint Transmission Power Control and Duty-Cycle Approach for Smart Healthcare System,Artikel i tidskrift,Refereegranskat,eng,IEEE Sensors Journal,1530-437X,1558-1748,published,19,19,,8479,8486,2019,,,,IEEE,,,,,,,10.1109/JSEN.2018.2881611,4.87E+11,,,urn:nbn:se:liu:diva-153119,,,"['smart healthcare', 'body posture', 'bsn', 'energy harvesting', 'duty-cycle', 'aetpc', 'ptpc', 'constant tpc']",Datorteknik (10206),,,<p>This work is done under the supervision of Prof. Andrei Gurtov</p>,"<p>Emerging revolution in the healthcare has caught the attention of both the industry and academia due to the rapid proliferation in the wearable devices and innovative techniques. In the mean-time, Body Sensor Networks (BSNs) have become the potential candidate in transforming the entire landscape of the medical world. However, large battery lifetime and less power drain are very vital for these resource-constrained sensor devices while collecting the bio-signals. Hence, minimizing their charge and energy depletions are still very challenging tasks. It is examined through large real-time data sets that due to the dynamic nature of the wireless channel, the traditional predictive transmission power control (PTPC) and a constant transmission power techniques are no more supportive and potential candidates for BSNs. Thus this paper first, proposes a novel joint transmission power control (TPC) and duty-cycle adaptation based framework for pervasive healthcare. Second, adaptive energy-efficient transmission power control (AETPC) algorithm is developed by adapting the temporal variation in the on-body wireless channel amid static (i.e., standing and walking at a constant speed) and dynamic (i.e., running) body postures. Third, a Feedback Control-based duty-cycle algorithm is proposed for adjusting the execution period of tasks (i.e., sensing and transmission). Fourth, system-level battery and energy harvesting models are proposed for body sensor nodes by examining the energy depletion of sensing and transmission tasks. It is validated through Monte Carlo experimental analysis that proposed algorithm saves more energy of 11.5% with reasonable packet loss ratio (PLR) by adjusting both transmission power and duty-cycle unlike the conventional constant TPC and PTPC methods.</p>",,,,,,,,,,,,,11/28/2018,11/28/2018,11/4/2019,https://liu.diva-portal.org/smash/get/diva2:1266565/FULLTEXT02.pdf,,6.0,,deprecated,,,,,,False,,,,"Linköpings universitet [276], Institutionen för datavetenskap [281], Databas och informationsteknik [11105], Linköpings universitet [276], Tekniska fakulteten [872902],  Electrical Engineering Department Sukkur IBA,  Pakistan, CAS, SIAT, Shenzhen, China , Physics Shah Abdul Latif, Pakistan , Linköpings universitet [276], Institutionen för datavetenskap [281], Databas och informationsteknik [11105], Linköpings universitet [276], Tekniska fakulteten [872902], Department of Computer Science Bahria University, Pakistan, Shenzhen Key Laboratory of Computational Intelligence, China ","['276', '281', '11105', '276', '872902', '276', '281', '11105', '276', '872902']"
4544,1649485,"Bjärehed, Marlene [marbj28] [0000-0001-5753-1310] (Linköpings universitet [276], Institutionen för beteendevetenskap och lärande [316], Pedagogik och didaktik [10700]) (Linköpings universitet [276], Utbildningsvetenskap [1810]);Thornberg, Robert [robth79] [0000-0001-9233-3862] (Linköpings universitet [276], Institutionen för beteendevetenskap och lärande [316], Pedagogik och didaktik [10700]) (Linköpings universitet [276], Utbildningsvetenskap [1810]);Wänström, Linda [linwa84] [0000-0002-6590-3847] (Linköpings universitet [276], Institutionen för datavetenskap [281], Statistik och maskininlärning [878151]) (Linköpings universitet [276], Filosofiska fakulteten [1750]) (Linköpings universitet [276], Institutionen för beteendevetenskap och lärande [316], Pedagogik och didaktik [10700]) (Linköpings universitet [276], Utbildningsvetenskap [1810]);Gini, Gianluca (Padova University, Italy)",A longitudinal study of growth of verbal bullying across late childhood : Associations with moral disengagement,Konferensbidrag,Övrigt vetenskapligt,eng,,,,,,,,,,2019,,,,,,,,,https://worldantibullyingforum.com/uploads/sites/2/2021/02/WABF-2019-Abstract_Book.pdf#page=72,,,,,,urn:nbn:se:liu:diva-184061,,,['verbal bullying'],Pedagogik (50301);Psykologi (exklusive tillämpad psykologi) (50101),,,,"<p>Introduction:</p><p>There is strong empirical support for the link between moral disengagement (MD) and bullying in late childhood. However, only a few studies have examined these associations longitudinally. Given that previous research suggest that verbal bullying is the most common type of bullying in adolescence, with increasing prevalence during the childhood years, understanding factors associated with verbal bullying during these years may be of great importance. This study examines changes in verbal bullying across late childhood, focusing specifically on associations between moral disengagement and the individual child’s change trajectory.</p><p>Method:</p><p>A total of 1214 Swedish children completed a web-based questionnaire at three time points (in grades 4, 5, and 6). Multilevel growth modeling was used to examine unique trajectories of groups(classrooms) and individuals.</p><p>Result:</p><p>The results showed that verbal bullying increased between grades four, five, and six, and that bullying scores were positively associated with MD scores over time. In addition, the bullying trajectories of children with higher levels of MD were higher and steeper, indicating that these children scored higher on bullying in general as well as increased more in bullying over time, compared to children with lower levels of MD.</p><p>Discussion:</p><p>Our findings add to the literature, by exploring temporal and dispositional aspects of moral disengagement. The results are discussed in relation to the literature and the socio-cognitive perspective of bullying behavior as a result of reciprocal interplay between personal and social influences. </p>",,,,,,,,,,,,,4/4/2022,4/4/2022,6/2/2023,,,4.0,,deprecated,,abstracts,"2nd World Anti-Bullying Forum, Dublin City University, Ireland, June 4–6, 2020",,,True,,,,"Linköpings universitet [276], Institutionen för beteendevetenskap och lärande [316], Pedagogik och didaktik [10700], Linköpings universitet [276], Utbildningsvetenskap [1810], Linköpings universitet [276], Institutionen för beteendevetenskap och lärande [316], Pedagogik och didaktik [10700], Linköpings universitet [276], Utbildningsvetenskap [1810], Linköpings universitet [276], Institutionen för datavetenskap [281], Statistik och maskininlärning [878151], Linköpings universitet [276], Filosofiska fakulteten [1750], Linköpings universitet [276], Institutionen för beteendevetenskap och lärande [316], Pedagogik och didaktik [10700], Linköpings universitet [276], Utbildningsvetenskap [1810], Padova University, Italy","['276', '316', '10700', '276', '1810', '276', '316', '10700', '276', '1810', '276', '281', '878151', '276', '1750', '276', '316', '10700', '276', '1810']"
4545,1357454,"Li, Huanyu [huali50] [0000-0003-1881-3969] (Linköpings universitet [276], Institutionen för datavetenskap [281], Databas och informationsteknik [11105]) (Linköpings universitet [276], Tekniska fakulteten [872902]);Armiento, Rickard [ricar47] [0000-0002-5571-0814] (Linköpings universitet [276], Institutionen för fysik, kemi och biologi [282], Teoretisk Fysik [2229]) (Linköpings universitet [276], Tekniska fakulteten [872902]);Lambrix, Patrick [patla00] [0000-0002-9084-0470] (Linköpings universitet [276], Institutionen för datavetenskap [281], Databas och informationsteknik [11105]) (Linköpings universitet [276], Tekniska högskolan [1751]) (IDA/ADIT)",A Method for Extending Ontologies with Application to the Materials Science Domain,Artikel i tidskrift,Refereegranskat,eng,Data Science Journal,,1683-1470,published,18,1,,1,21,2019,,,,Ubiquity Press,,,,,,,10.5334/dsj-2019-050,,,,urn:nbn:se:liu:diva-160711,,,"['nanotechnology', 'topic model', 'nanoparticle', 'materials science', 'formal topical concept analysis']",Datavetenskap (datalogi) (10201);Materialteknik (205),,,,"<p>In the materials science domain the data-driven science paradigm has become the focus since the beginning of the 2000s. A large number of research groups and communities are building and developing data-driven workflows. However, much of the data and knowledge is stored in different heterogeneous data sources maintained by different groups. This leads to a reduced availability of the data and poor interoperability between systems in this domain. Ontology-based techniques are an important way to reduce these problems and a number of efforts have started. In this paper we investigate efforts in the materials science, and in particular in the nanotechnology domain, and show how such ontologies developed by domain experts, can be improved. We use a phrase-based topic model approach and formal topical concept analysis on unstructured text in this domain to suggest additional concepts and axioms for the ontology that should be validated by a domain expert. We describe the techniques and show the usefulness of the approach through an experiment where we extend two nanotechnology ontologies using approximately 600 titles and abstracts.</p>",,,,,,,,,,,,,10/3/2019,10/3/2019,1/9/2024,https://liu.diva-portal.org/smash/get/diva2:1357454/FULLTEXT01.pdf,Swedish e?Science Research Center;Vetenskapsrådet [2018-04147];CUGS (National Graduate School in Computer Science),3.0,,deprecated,,,,,50,True,,,,"Linköpings universitet [276], Institutionen för datavetenskap [281], Databas och informationsteknik [11105], Linköpings universitet [276], Tekniska fakulteten [872902], Linköpings universitet [276], Institutionen för fysik, kemi och biologi [282], Teoretisk Fysik [2229], Linköpings universitet [276], Tekniska fakulteten [872902], Linköpings universitet [276], Institutionen för datavetenskap [281], Databas och informationsteknik [11105], Linköpings universitet [276], Tekniska högskolan [1751], IDA/ADIT","['276', '281', '11105', '276', '872902', '276', '282', '2229', '276', '872902', '276', '281', '11105', '276', '1751']"
4546,1592693,"Ahrenberg, Lars [larah03] (Linköpings universitet [276], Institutionen för datavetenskap [281], Interaktiva och kognitiva system [11107]) (Linköpings universitet [276], Tekniska fakulteten [872902]) (NLPLab, HCS);Olsson, Leif-Jöran (University of Gothenburg, Sweden);Frid, Johan (Lund University, Sweden)",A New Gold Standard for Swedish NERC,Konferensbidrag,Refereegranskat,eng,,,,,,,Proceedings of the CLARIN Annual Conference 2019,112,115,2019,,,,CLARIN,,,,,https://office.clarin.eu/v/CE-2019-1512_CLARIN2019_ConferenceProceedings.pdf,,,,,,urn:nbn:se:liu:diva-179071,,,"['named-entity recognition', 'language resource']",Medievetenskap (50801),,,,<p>Starting in 2018 Swe-Clarin members are working cross-instituionally on special themes. In thispaper we report ongoing work in a project aimed at the creation of a new gold standard forSwedish Named-Entity Recognition and Categorisation. In contrast to previous efforts the newresource will contain data from both social media and edited text. The resource will be madefreely available through Spr ?akbankenText</p>,,,,,,,,,,,,,9/9/2021,9/9/2021,12/23/2021,,Vetenskapsrådet,3.0,,deprecated,,poster,"CLARIN Annual Conference 2019, Leipzig, Germany",,,True,,,,"Linköpings universitet [276], Institutionen för datavetenskap [281], Interaktiva och kognitiva system [11107], Linköpings universitet [276], Tekniska fakulteten [872902], NLPLab, HCS, University of Gothenburg, Sweden, Lund University, Sweden","['276', '281', '11107', '276', '872902']"
4547,1286141,"Pop, Adrian [adrpo33] (Linköpings universitet [276], Institutionen för datavetenskap [281], Programvara och system [11108]) (Linköpings universitet [276], Tekniska fakulteten [872902]) (Programming Environments Laboratory);Östlund, Per [peros64] (Linköpings universitet [276], Institutionen för datavetenskap [281], Programvara och system [11108]) (Linköpings universitet [276], Tekniska fakulteten [872902]) (Programming Environments Laboratory);Casella, Francesco (Dipartimento di Elettronica, Informazione e Bioingegneria, Politecnico di Milano, Milano, Italy);Sjölund, Martin [marsj34] [0000-0001-7638-0108] (Linköpings universitet [276], Institutionen för datavetenskap [281], Programvara och system [11108]) (Linköpings universitet [276], Tekniska fakulteten [872902]) (Programming Environments Laboratory);Franke, Rüdiger (ABB, IAPG-A26, Kallstadter Str. 1, Mannheim, Germany)",A New OpenModelica Compiler High Performance Frontend,Konferensbidrag,Refereegranskat,eng,,,,,,,"Proceedings of the 13th International Modelica Conference, Regensburg, Germany, March 4–6, 2019",,,2019,,,Linköping,,Linköping Electronic Conference Proceedings ; 157,1650-3686,1650-3686,9.79E+12,,,10.3384/ecp19157689,,,,urn:nbn:se:liu:diva-154345,,,['frontend'],Datorsystem (20206),,,,"<p>The equation-based object-oriented Modelica language allows easy composition of models from components. It is very easy to create very large parametrized models using component arrays of models. Current open-source and commercial Modelica tools can with ease handle models with a hundred thousand equations and a thousand states. However, when the system size goes above half a million (or more) equations the tools begin to have problems with scalability. This paper presents the new frontend of the OpenModelica compiler, designed with scalability in mind. The new OpenModelica frontend can handle much larger systems than the current one with better time and memory performance. The new frontend was validated against large models from the ScalableTestSuite library and Modelica Standard Library, with good results.</p>",,,,,,,,,,,,,2/6/2019,2/6/2019,5/4/2022,https://liu.diva-portal.org/smash/get/diva2:1286141/FULLTEXT01.pdf,Vinnova [2015-03027],5.0,,deprecated,,publishedPaper,"The 13th International Modelica Conference, Regensburg, Germany, March 4–6, 2019",,,True,True,,,"Linköpings universitet [276], Institutionen för datavetenskap [281], Programvara och system [11108], Linköpings universitet [276], Tekniska fakulteten [872902], Programming Environments Laboratory, Linköpings universitet [276], Institutionen för datavetenskap [281], Programvara och system [11108], Linköpings universitet [276], Tekniska fakulteten [872902], Programming Environments Laboratory, Dipartimento di Elettronica, Informazione e Bioingegneria, Politecnico di Milano, Milano, Italy, Linköpings universitet [276], Institutionen för datavetenskap [281], Programvara och system [11108], Linköpings universitet [276], Tekniska fakulteten [872902], Programming Environments Laboratory, ABB, IAPG-A26, Kallstadter Str. 1, Mannheim, Germany","['276', '281', '11108', '276', '872902', '276', '281', '11108', '276', '872902', '276', '281', '11108', '276', '872902']"
4549,1470866,"Sodhro, Ali Hassan (Sukkur IBA Univ, Pakistan);Obaidat, Mohammad S. (Nazarbayev Univ, Kazakhstan; Univ Jordan, Jordan; Univ Sci & Technol Beijing, Peoples R China);Pirbhulal, Sandeep (Chinese Acad Sci, Peoples R China);Sodhro, Gul Hassan (Shah Abdul Latif Univ, Pakistan);Zahid, Noman (Sukkur IBA Univ, Pakistan);Rawat, Abhimanyu [abhra32] (Linköpings universitet [276], Institutionen för datavetenskap [281], Databas och informationsteknik [11105]) (Linköpings universitet [276], Tekniska fakulteten [872902])",A Novel Energy Optimization Approach for Artificial Intelligence-enabled Massive Internet of Things,Konferensbidrag,Refereegranskat,eng,,,,,,,PROCEEDINGS OF THE 2019 SUMMER SIMULATION CONFERENCE (SUMMERSIM 19),,,2019,,,,ACM Digital Library,,,,,,,,5.65E+11,,,urn:nbn:se:liu:diva-170033,,,"['ceoa', 'massive iot']",Datorteknik (10206),,,,"<p>Emerging trends in Internet of things (IoT) has caught the attention of every domain e.g., industrial, business, and healthcare etc. Sensor-embedded IoT devices are the key drivers for collecting large amount of data. Managing these large datasets is one of the critical challenges to be tackled. Continuous huge information collection through sensor-enabled devices is known as the massive IoT (mIoT). Thus, there is a need of self-adaptive artificial intelligence (AI)based strategies to effectively cluster, examine and interpret the entire entities in the system. With increased data volumes and power hungry natured IoT devices it is a dire need to manage their power wisely. To fairly allot the power levels to the tiny portable devices it is important to integrate mIoT with AI-based techniques. To remedy these issues this paper proposes a novel cross-layer based energy optimization algorithm (CEOA) in mIoT system by examining the detailed features and data patterns. Experimental analysis reveals that proposed CEOA outperforms its competing counterpart i.e., Baseline in terms of efficient power management and monitoring.</p>",,,,,,,,,,,,,9/26/2020,9/26/2020,9/26/2020,,,6.0,,deprecated,,publishedPaper,"Summer Simulation Conference (SummerSim), Berlin, GERMANY, jul 22-24, 2019",,,False,,,,"Sukkur IBA Univ, Pakistan, Nazarbayev Univ, Kazakhstan; Univ Jordan, Jordan; Univ Sci & Technol Beijing, Peoples R China, Chinese Acad Sci, Peoples R China, Shah Abdul Latif Univ, Pakistan, Sukkur IBA Univ, Pakistan, Linköpings universitet [276], Institutionen för datavetenskap [281], Databas och informationsteknik [11105], Linköpings universitet [276], Tekniska fakulteten [872902]","['276', '281', '11105', '276', '872902']"
4552,1202548,"Sysoev, Oleg [olesy12] [0000-0002-3092-4162] (Linköpings universitet [276], Institutionen för datavetenskap [281], Statistik och maskininlärning [878151]) (Linköpings universitet [276], Filosofiska fakulteten [1750]);Burdakov, Oleg [olebu87] [0000-0003-1836-4200] (Linköpings universitet [276], Matematiska institutionen [307], Optimeringslära [2328]) (Linköpings universitet [276], Tekniska fakulteten [872902])",A smoothed monotonic regression via L2 regularization,Artikel i tidskrift,Refereegranskat,eng,Knowledge and Information Systems,0219-1377,0219-3116,published,59,1,,197,218,2019,,,,Springer,,,,,,,10.1007/s10115-018-1201-2,4.61E+11,,,urn:nbn:se:liu:diva-147628,,,['probabilistic learning'],Sannolikhetsteori och statistik (10106);Beräkningsmatematik (10105),,,,"<p>Monotonic regression is a standard method for extracting a monotone function from non-monotonic data, and it is used in many applications. However, a known drawback of this method is that its fitted response is a piecewise constant function, while practical response functions are often required to be continuous. The method proposed in this paper achieves monotonicity and smoothness of the regression by introducing an <em>L</em><sub>2</sub> regularization term. In order to achieve a low computational complexity and at the same time to provide a high predictive power of the method, we introduce a probabilistically motivated approach for selecting the regularization parameters. In addition, we present a technique for correcting inconsistencies on the boundary. We show that the complexity of the proposed method is <em>O</em>(<em>n</em><sup><em>2</em></sup>). Our simulations demonstrate that when the data are large and the expected response is a complicated function (which is typical in machine learning applications) or when there is a change point in the response, the proposed method has a higher predictive power than many of the existing methods.</p>",,,,,,,,,,,,,4/27/2018,4/27/2018,4/3/2019,https://liu.diva-portal.org/smash/get/diva2:1202548/FULLTEXT01.pdf,,2.0,,deprecated,,,,,,True,True,,,"Linköpings universitet [276], Institutionen för datavetenskap [281], Statistik och maskininlärning [878151], Linköpings universitet [276], Filosofiska fakulteten [1750], Linköpings universitet [276], Matematiska institutionen [307], Optimeringslära [2328], Linköpings universitet [276], Tekniska fakulteten [872902]","['276', '281', '878151', '276', '1750', '276', '307', '2328', '276', '872902']"
4553,1368887,"Periera, Daniel Patrick (ITA Instituto Tecnologico de Aeronautica, Sao Jose dos Campos, Brazil);Hirata, Celso [0000-0002-9746-7605] (ITA Instituto Tecnologico de Aeronautica, Sao Jose dos Campos, Brazil);Nadjm-Tehrani, Simin [simna73] [0000-0002-1485-0802] (Linköpings universitet [276], Institutionen för datavetenskap [281], Programvara och system [11108]) (Linköpings universitet [276], Tekniska fakulteten [872902]) (Real-time Systems Laboratory)",A STAMP-based ontology approach to support safety and security analyses,Artikel i tidskrift,Refereegranskat,eng,Journal of Information Security and Applications,2214-2134,2214-2126,published,47,,,302,319,2019,,,,Elsevier,,,,,,,10.1016/j.jisa.2019.05.014,4.80E+11,,2-s2.0-85066634864,urn:nbn:se:liu:diva-161754,,,"['security assessment', 'stamp/stpa-sec', 'safety assessment']",Datorsystem (20206),,,"<p>Funding Agencies|CNPq [403921/2016-3, 306186/2018-7]; CISB SAAB [04/2016]; national projects on aeronautics [NFFP7-04890]; research centre on Resilient Information and Control Systems</p>","<p>Considerations of safety and security in the early stage of system life cycle are essential to collect and prioritize operation needs, determine feasibility of the desired system, and identify technology gaps. Experts from many disciplines are needed to perform the safety and security analyses, ensuring that a system has the necessary attributes. Safety assessment is usually conducted in the concept stage. On the order hand, security assessment is performed in design stage usually when an initial architecture along with the logical and physical components are defined. Systems-Theoretic Process Analysis (STPA) is a new hazard analysis technique based on systems thinking and is built on top of a new causality model of accident, which stands for Systems-Theoretic Accident Model and Processes (STAMP), grounded in systems theory. STPA for Security (STPA-Sec) is an extension of STPA that proposes to include security concerns into the analysis. STPA-Sec helps identifying some hazardous control actions, causal scenarios, and casual factors; however, no emphasis is placed on security threat scenarios. In this paper we propose an ontology-based technique that extends STPA-Sec to improve identification of causal scenarios and associated casual factors, specifically those related to security. We propose an approach that assists safety and security experts conducting safety and security analyses using STPA-Sec with a supporting ontology. First, we present an ontology representing the safety and security knowledge through STPA-Sec process, and provide a tool that implements the proposed ontology. We then propose a process to capture safety and security knowledge into the proposed ontology to identify causal scenarios. We perform a preliminary evaluation of the ontology and the process using an aeronautic case study. The results show that the ontology-based approach helps systems engineers to identify more security scenarios compared to the case where they use only STPA-Sec. Furthermore, some hazardous control actions are not addressed if the systems engineer uses the basic STPA-Sec.</p>",,,,,,,,,,,,,11/8/2019,11/8/2019,7/13/2021,,,3.0,,deprecated,,,,,,True,,,,"ITA Instituto Tecnologico de Aeronautica, Sao Jose dos Campos, Brazil, ITA Instituto Tecnologico de Aeronautica, Sao Jose dos Campos, Brazil, Linköpings universitet [276], Institutionen för datavetenskap [281], Programvara och system [11108], Linköpings universitet [276], Tekniska fakulteten [872902], Real-time Systems Laboratory","['276', '281', '11108', '276', '872902']"
4554,1365102,"Strömbäck, Filip [filst04] [0000-0002-0556-6893] (Linköpings universitet [276], Institutionen för datavetenskap [281], Programvara och system [11108]) (Linköpings universitet [276], Tekniska fakulteten [872902]);Mannila, Linda [linma38] [0000-0001-6020-2737] (Linköpings universitet [276], Institutionen för datavetenskap [281], Artificiell intelligens och integrerade datorsystem [11106]) (Linköpings universitet [276], Tekniska fakulteten [872902]);Asplund, Mikael [mikas34] [0000-0003-1916-3398] (Linköpings universitet [276], Institutionen för datavetenskap [281], Programvara och system [11108]) (Linköpings universitet [276], Tekniska fakulteten [872902]);Kamkar, Mariam [marka42] (Linköpings universitet [276], Institutionen för datavetenskap [281], Programvara och system [11108]) (Linköpings universitet [276], Tekniska fakulteten [872902])",A Student's View of Concurrency : A Study of Common Mistakes in Introductory Courses on Concurrency,Konferensbidrag,Refereegranskat,eng,,,,,,,Proceedings of the 2019 ACM Conference on International Computing Education Research,229,237,2019,,,"New York, NY, USA",Association for Computing Machinery (ACM),,,,978-1-4503-6185-9,,,10.1145/3291279.3339415,5.20E+11,,,urn:nbn:se:liu:diva-159683,,,['mental models'],Data- och informationsvetenskap (102);Lärande (50303),,,,"<p>This paper investigates common misconceptions held by students regarding concurrency in order to better understand how concurrency education can be improved in the future. As a part of the exam in two courses on concurrency and operating systems, students were asked to identify and eliminate any concurrency issues in a piece of code as a part of their final exam. Different types of mistakes were identified and the 216 answers were sorted into categories accordingly. The results presented in this paper show that while most students were able to identify the cause of an issue given its symptoms, only approximately half manage to successfully eliminate the concurrency issues. Many of the incorrect solutions fail to associate shared data with a synchronization primitive, e.g. using one lock to protect multiple instances of a data structure, or multiple locks to protect the same instance in different situations. This suggests that students may not only have trouble dealing with concepts related to concurrency, but also more fundamental concepts related to the underlying computational model. Finally, this paper proposes possible explanations for the students' mistakes in terms of improper mental models, and suggests types of problems that highlight the issues with these mental models to improve students' understanding of the subject.</p>",,,,,,,,,,,,,10/23/2019,8/17/2019,1/30/2023,https://liu.diva-portal.org/smash/get/diva2:1365102/FULLTEXT01.pdf,,4.0,,deprecated,urn:nbn:se:liu:diva-191347,publishedPaper,"International Computing Education Research, Toronto ON, Canada, August 12 - 14, 2019",,,True,,,,"Linköpings universitet [276], Institutionen för datavetenskap [281], Programvara och system [11108], Linköpings universitet [276], Tekniska fakulteten [872902], Linköpings universitet [276], Institutionen för datavetenskap [281], Artificiell intelligens och integrerade datorsystem [11106], Linköpings universitet [276], Tekniska fakulteten [872902], Linköpings universitet [276], Institutionen för datavetenskap [281], Programvara och system [11108], Linköpings universitet [276], Tekniska fakulteten [872902], Linköpings universitet [276], Institutionen för datavetenskap [281], Programvara och system [11108], Linköpings universitet [276], Tekniska fakulteten [872902]","['276', '281', '11108', '276', '872902', '276', '281', '11106', '276', '872902', '276', '281', '11108', '276', '872902', '276', '281', '11108', '276', '872902']"
4556,1360331,"Törnblom, John [johto84] [0000-0002-4073-0417] (Linköpings universitet [276], Institutionen för datavetenskap [281], Programvara och system [11108]) (Linköpings universitet [276], Tekniska fakulteten [872902]) (Real-Time Systems Laboratory);Nadjm-Tehrani, Simin [simna73] [0000-0002-1485-0802] (Linköpings universitet [276], Institutionen för datavetenskap [281], Programvara och system [11108]) (Linköpings universitet [276], Tekniska fakulteten [872902]) (Real-Time Systems Laboratory)",An Abstraction-Refinement Approach to Formal Verification of Tree Ensembles,Konferensbidrag,Refereegranskat,eng,,,,,,,"Computer Safety, Reliability, and Security : SAFECOMP 2019 Workshops, ASSURE, DECSoS, SASSUR, STRIVE, and WAISE, Turku, Finland, September 10, 2019, Proceedings",301,313,2019,,,,Springer,Lecture Notes in Computer Science ; 11699,0302-9743,0302-9743,978-3-030-26249-5;978-3-030-26250-1,,,10.1007/978-3-030-26250-1_24,5.61E+11,,,urn:nbn:se:liu:diva-160869,,,['tree ensembles'],Datavetenskap (datalogi) (10201),,,"<p>Funding agencies: Wallenberg AI, Autonomous Systems and Software Program (WASP) - Knut and Alice Wallenberg Foundation</p>","<p>Recent advances in machine learning are now being considered for integration in safety-critical systems such as vehicles, medical equipment and critical infrastructure. However, organizations in these domains are currently unable to provide convincing arguments that systems integrating machine learning technologies are safe to operate in their intended environments.</p><p>In this paper, we present a formal verification method for tree ensembles that leverage an abstraction-refinement approach to counteract combinatorial explosion. We implemented the method as an extension to a tool named VoTE, and demonstrate its applicability by verifying the robustness against perturbations in random forests and gradient boosting machines in two case studies. Our abstraction-refinement based extension to VoTE improves the performance by several orders of magnitude, scaling to tree ensembles with up to 50 trees with depth 10, trained on high-dimensional data.</p>",,,,,,,,,,,,,10/11/2019,10/11/2019,1/2/2024,,"Wallenberg AI, Autonomous Systems and Software Program (WASP)",2.0,,deprecated,urn:nbn:se:liu:diva-170862,publishedPaper,?Second International Workshop on Artificial Intelligence Safety Engineering,,,False,,,,"Linköpings universitet [276], Institutionen för datavetenskap [281], Programvara och system [11108], Linköpings universitet [276], Tekniska fakulteten [872902], Real-Time Systems Laboratory, Linköpings universitet [276], Institutionen för datavetenskap [281], Programvara och system [11108], Linköpings universitet [276], Tekniska fakulteten [872902], Real-Time Systems Laboratory","['276', '281', '11108', '276', '872902', '276', '281', '11108', '276', '872902']"
