PID,Name,Title,PublicationType,ContentType,Language,Journal,JournalISSN,JournalEISSN,Status,Volume,Issue,HostPublication,StartPage,EndPage,Year,Edition,Pages,City,Publisher,Series,SeriesISSN,SeriesEISSN,ISBN,Urls,ISRN,DOI,ISI,PMID,ScopusId,NBN,LocalId,ArchiveNumber,Keywords,Categories,ResearchSubjects,Projects,Notes,Abstract,Opponents,Supervisors,Examiners,Patent,ThesisLevel,Credits,Programme,Subject,Uppsok,DefencePlace,DefenceLanguage,DefenceDate,CreatedDate,PublicationDate,LastUpdated,FullTextLink,Funder,NumberOfAuthors,ExternalCooperation,FridaLevel,PartOfThesis,PublicationSubtype,Conference,Term,ArticleId,Reviewed,FreeFulltext,SustainableDevelopment,Contributor,Institute,Numbers,ContainsTargetNumbers
1166761,"Nordgaard, Anders [andno60] [0000-0001-9385-5443] (Linköpings universitet [276], Filosofiska fakulteten [1750]) (Linköpings universitet [276], Institutionen för datavetenskap [281], Statistik och maskininlärning [878151]);Grimvall, Anders [andgr70] (Linköpings universitet [276], Institutionen för datavetenskap [281], Statistik och maskininlärning [878151]) (Linköpings universitet [276], Filosofiska fakulteten [1750])",A resampling technique for estimating the power of non-parametric trend tests,Artikel i tidskrift,Refereegranskat,eng,Environmetrics,1180-4009,1099-095X,published,17,,,257,267,2006,,,,John Wiley & Sons,,,,,,,10.1002/env.746,,,,urn:nbn:se:liu:diva-143764,,,resampling; power function; trend testing; non-parametric; monitoring; time series,Sannolikhetsteori och statistik (10106);Miljövetenskap (10502),,,,"<p>The power of Mann–Kendall tests and other non-parametric trend tests is normally estimated by performingMonte Carlo simulations in which arti?cial data are generated according to simple parametric models. Here weintroduce a resampling technique for power assessments that can be fully automated and accommodate almost anyvariation in the collected time series data. A rank regression model is employed to extract error terms representingirregular variation in data that are collected over several seasons and may contain a non-linear trend. Thereafter,an autoregressive moving average (ARMA) bootstrap method is used to generate new time series of error termsfor power simulations. A study of water quality data from two Swedish rivers illustrates how our methodcan provide site- and variable-speci?c information about the power of the Hirsch and Slack test for monotonictrends. In particular, we show how to clarify the impact of sampling frequency on the power of the trend tests.</p>",,,,,,,,,,,,,12/15/2017,12/15/2017,7/2/2019,,,2.0,,deprecated,,,,,,False,,,,"Linköpings universitet [276], Filosofiska fakulteten [1750], Linköpings universitet [276], Institutionen för datavetenskap [281], Statistik och maskininlärning [878151], Linköpings universitet [276], Institutionen för datavetenskap [281], Statistik och maskininlärning [878151], Linköpings universitet [276], Filosofiska fakulteten [1750]","['276', '1750', '276', '281', '878151', '276', '281', '878151', '276', '1750']",True
1143466,"Bjärehed, Marlene (Linköpings universitet [276], Institutionen för beteendevetenskap och lärande [316], Pedagogik och didaktik [10700]);Sjögren, Björn (Linköpings universitet [276], Institutionen för beteendevetenskap och lärande [316], Pedagogik och didaktik [10700]);Wänström, Linda (Linköpings universitet [276], Institutionen för datavetenskap [281], Statistik och maskininlärning [878151]);Thornberg, Robert [robth79] [0000-0001-9233-3862] (Linköpings universitet [276], Institutionen för beteendevetenskap och lärande [316], Pedagogik och didaktik [10700]) (Linköpings universitet [276], Utbildningsvetenskap [1810])",Bullying and moral disengagement mechanisms,Konferensbidrag,Refereegranskat,eng,,,,,,,,,,2016,,,,,,,,,,,,,,,urn:nbn:se:liu:diva-141062,,,bullying;moral disengagement;social-cognitive theory,Utbildningsvetenskap (503);Pedagogik (50301);Psykologi (501),,,,,,,,,,,,,,,,,9/21/2017,9/21/2017,9/21/2017,,Vetenskapsrådet,4.0,,deprecated,,presentation,"The 44th Congress of Nordic Educational Research Association at Helsinki, Finland, 9-11 March, 2016",,,False,,,,"Linköpings universitet [276], Institutionen för beteendevetenskap och lärande [316], Pedagogik och didaktik [10700], Linköpings universitet [276], Institutionen för beteendevetenskap och lärande [316], Pedagogik och didaktik [10700], Linköpings universitet [276], Institutionen för datavetenskap [281], Statistik och maskininlärning [878151], Linköpings universitet [276], Institutionen för beteendevetenskap och lärande [316], Pedagogik och didaktik [10700], Linköpings universitet [276], Utbildningsvetenskap [1810]","['276', '316', '10700', '276', '316', '10700', '276', '281', '878151', '276', '316', '10700', '276', '1810']",True
1143471,"Alsaadi, Sarah (Linköpings universitet [276], Institutionen för datavetenskap [281], Statistik och maskininlärning [878151]);Wänström, Linda (Linköpings universitet [276], Institutionen för datavetenskap [281], Statistik och maskininlärning [878151]);Sjögren, Björn (Linköpings universitet [276], Institutionen för beteendevetenskap och lärande [316], Pedagogik och didaktik [10700]);Bjärehed, Marlene (Linköpings universitet [276], Institutionen för beteendevetenskap och lärande [316], Pedagogik och didaktik [10700]);Thornberg, Robert [robth79] [0000-0001-9233-3862] (Linköpings universitet [276], Institutionen för beteendevetenskap och lärande [316], Pedagogik och didaktik [10700]) (Linköpings universitet [276], Utbildningsvetenskap [1810])",Collective moral disengagement and school bullying : An initial validation study of the Swedish scale version,Konferensbidrag,Refereegranskat,eng,,,,,,,,,,2016,,,,,,,,,,,,,,,urn:nbn:se:liu:diva-141063,,,collective moral disengagement;psychometrics;cross-cultural,Utbildningsvetenskap (503);Pedagogik (50301);Psykologi (501),,,,,,,,,,,,,,,,,9/21/2017,9/21/2017,9/21/2017,,Vetenskapsrådet,5.0,,deprecated,,presentation,"The 44th Congress of Nordic Educational Research Association at Helsinki, Finland, 9-11 March, 2016",,,False,,,,"Linköpings universitet [276], Institutionen för datavetenskap [281], Statistik och maskininlärning [878151], Linköpings universitet [276], Institutionen för datavetenskap [281], Statistik och maskininlärning [878151], Linköpings universitet [276], Institutionen för beteendevetenskap och lärande [316], Pedagogik och didaktik [10700], Linköpings universitet [276], Institutionen för beteendevetenskap och lärande [316], Pedagogik och didaktik [10700], Linköpings universitet [276], Institutionen för beteendevetenskap och lärande [316], Pedagogik och didaktik [10700], Linköpings universitet [276], Utbildningsvetenskap [1810]","['276', '281', '878151', '276', '281', '878151', '276', '316', '10700', '276', '316', '10700', '276', '316', '10700', '276', '1810']",True
1073801,"Cros, Olivier [olicr07] (Linköpings universitet [276], Institutionen för medicinsk teknik [286], Medicinsk informatik [2302]) (Linköpings universitet [276], Tekniska fakulteten [872902]) (Linköpings universitet [276], Centrum för medicinsk bildvetenskap och visualisering, CMIV [3801]) (Aalborg Unversity Hospital, Denmark);Eklund, Anders [andek67] (Linköpings universitet [276], Institutionen för medicinsk teknik [286], Medicinsk informatik [2302]) (Linköpings universitet [276], Tekniska fakulteten [872902]) (Linköpings universitet [276], Centrum för medicinsk bildvetenskap och visualisering, CMIV [3801]) (Linköpings universitet [276], Institutionen för datavetenskap [281], Statistik och maskininlärning [878151]) (Linköpings universitet [276], Filosofiska fakulteten [1750]);Gaihede, Michael (Department of Otolaryngology, Head & Neck Surgery, Aalborg University Hospital, Denmark);Knutsson, Hans [hankn25] [0000-0002-9091-4724] (Linköpings universitet [276], Institutionen för medicinsk teknik [286], Medicinsk informatik [2302]) (Linköpings universitet [276], Tekniska fakulteten [872902]) (Linköpings universitet [276], Centrum för medicinsk bildvetenskap och visualisering, CMIV [3801])",Enhancement of micro-channels within the human mastoid bone based on local structure tensor analysis,Konferensbidrag,Refereegranskat,eng,,,,,,,"Image Proceessing Theory, Tools and Apllications",,,2016,,,,IEEE,International Conference on Image Processing Theory Tools and Applications (IPTA),,2154-512X,9781467389105;9781467389112,,,10.1109/IPTA.2016.7821019,394000000000.0,,,urn:nbn:se:liu:diva-134434,,,Micro-channels;Structure tensor analysis;Image enhancement;Adaptive filtering;Human temporal bone;Mastoid bone,Medicinteknik (206),,,<p>Funding agencies: Obel Family Foundation (Denmark)</p>,"<p>Numerous micro-channels have recently been discovered in the human temporal bone by x-ray micro-CT-scanning. After a preliminary study suggesting that these micro-channels form a separate blood supply for the mucosa of the mastoid air cells, a structural analysis of the micro-channels using a local structure tensor was carried out. Despite the high-resolution of the micro-CT scan, presence of noise within the air cells along with missing information in some micro-channels suggested the need of image enhancement. This paper proposes an adaptive enhancement of the micro-channels based on a local structure analysis while minimizing the impact of noise on the overall data. Comparison with an anisotropic diffusion PDE based scheme was also performed.</p>",,,,,,,,,,,,,2/13/2017,2/13/2017,6/21/2017,https://liu.diva-portal.org/smash/get/diva2:1073801/FULLTEXT01.pdf,,4.0,,deprecated,urn:nbn:se:liu:diva-137288,publishedPaper,"6th International Conference on Image Processing Theory Tools and Applications (IPTA), Oulu, Finland, 12-15 December 2016",,,False,,,,"Linköpings universitet [276], Institutionen för medicinsk teknik [286], Medicinsk informatik [2302], Linköpings universitet [276], Tekniska fakulteten [872902], Linköpings universitet [276], Centrum för medicinsk bildvetenskap och visualisering, CMIV [3801], Aalborg Unversity Hospital, Denmark, Linköpings universitet [276], Institutionen för medicinsk teknik [286], Medicinsk informatik [2302], Linköpings universitet [276], Tekniska fakulteten [872902], Linköpings universitet [276], Centrum för medicinsk bildvetenskap och visualisering, CMIV [3801], Linköpings universitet [276], Institutionen för datavetenskap [281], Statistik och maskininlärning [878151], Linköpings universitet [276], Filosofiska fakulteten [1750], Department of Otolaryngology, Head & Neck Surgery, Aalborg University Hospital, Denmark, Linköpings universitet [276], Institutionen för medicinsk teknik [286], Medicinsk informatik [2302], Linköpings universitet [276], Tekniska fakulteten [872902], Linköpings universitet [276], Centrum för medicinsk bildvetenskap och visualisering, CMIV [3801]","['276', '286', '2302', '276', '872902', '276', '3801', '276', '286', '2302', '276', '872902', '276', '3801', '276', '281', '878151', '276', '1750', '276', '286', '2302', '276', '872902', '276', '3801']",True
1143456,"Thornberg, Robert [robth79] [0000-0001-9233-3862] (Linköpings universitet [276], Institutionen för beteendevetenskap och lärande [316], Pedagogik och didaktik [10700]) (Linköpings universitet [276], Utbildningsvetenskap [1810]);Wänström, Linda (Linköpings universitet [276], Institutionen för datavetenskap [281], Statistik och maskininlärning [878151]);Hong, Jun Sung (Wayne State University);Espelage, Dorothy (University of Florida)",Individual and class socio-moral influences on how to act as a bystander in school bullying situations,Konferensbidrag,Refereegranskat,eng,,,,,,,,,,2016,,,,,,,,,,,,,,,urn:nbn:se:liu:diva-141059,,,bullying;classroom climate;moral disengagement,Utbildningsvetenskap (503);Pedagogik (50301);Psykologi (501);Psykologi (exklusive tillämpad psykologi) (50101),,,,,,,,,,,,,,,,,9/21/2017,9/21/2017,9/21/2017,,,4.0,,deprecated,,presentation,"The 44th Congress of Nordic Educational Research Association at Helsinki, Finland, 9-11 March, 2016",,,False,,,,"Linköpings universitet [276], Institutionen för beteendevetenskap och lärande [316], Pedagogik och didaktik [10700], Linköpings universitet [276], Utbildningsvetenskap [1810], Linköpings universitet [276], Institutionen för datavetenskap [281], Statistik och maskininlärning [878151], Wayne State University, University of Florida","['276', '316', '10700', '276', '1810', '276', '281', '878151']",True
1342037,"Nordgaard, Anders [andno60] [0000-0001-9385-5443] (Linköpings universitet [276], Institutionen för datavetenskap [281], Statistik och maskininlärning [878151]) (Linköpings universitet [276], Filosofiska fakulteten [1750]) (Swedish Police Auhtority, National Forensic Centre (NFC));Aitken, Colin (School of Mathematics, University of Edinburgh, Edinburgh, United Kingdom)",Prediction of the distribution of thepercentages of narcotic substances in drug seizures,Konferensbidrag,Övrigt vetenskapligt,eng,,,,,,,,,,2016,,,,,,,,,,,,,,,urn:nbn:se:liu:diva-159537,,,predictive distribution;forward validation;percentages,Sannolikhetsteori och statistik (10106);Juridik och samhälle (50502),,,,"<p>The percentage of the narcotic substance in a drug seizure may vary a lot depending on when and from whom the seizure was taken. Seizures from a typical consumer would in general show low percentages, while seizures from the early stages of a drug dealing chain would show higher percentages (these will be diluted). Historical records from the determination of the percentage of narcotic substance in seized drugs reveal that the mean percentage but also the variation of the percentage can differ between years. Some drugs show close to monotonic trends while others are more irregular in the temporal variation.</p><p>Legal fact finders must have an up-to-date picture of what is an expected level of the percentage and what levels are to be treated as unusually low or unusually high. This is important for the determination of the sentences to be given in a drug case.</p><p>In this work we treat the probability distribution of the percentage of a narcotic substance in a seizure from year to year as a time series of functions. The functions are probability density functions of beta distributions, which are successively updated with the use of point mass posteriors for the shape parameters. The predictive distribution for a new year is a weighted sum of beta distributions for the previous years where the weights are found from forward validation. We show that this method of prediction is more accurate than one that uses a predictive distribution built on a likelihood based on all previous years.</p>",,,,,,,,,,,,,8/12/2019,8/12/2019,8/12/2019,,,2.0,,deprecated,,presentation,ISBA 2016 World Meeting (International Society for Bayesian Analysis),,,False,,,,"Linköpings universitet [276], Institutionen för datavetenskap [281], Statistik och maskininlärning [878151], Linköpings universitet [276], Filosofiska fakulteten [1750], Swedish Police Auhtority, National Forensic Centre (NFC, School of Mathematics, University of Edinburgh, Edinburgh, United Kingdom","['276', '281', '878151', '276', '1750']",True
1162627,"Eklund, Anders [andek67] (Linköpings universitet [276], Institutionen för medicinsk teknik [286], Avdelningen för medicinsk teknik [877301]) (Linköpings universitet [276], Institutionen för datavetenskap [281], Statistik och maskininlärning [878151]) (Linköpings universitet [276], Tekniska fakulteten [872902]) (Linköpings universitet [276], Centrum för medicinsk bildvetenskap och visualisering, CMIV [3801])",Repliker. ”Öppen vetenskap behöver inte kosta en enda krona”,Artikel i tidskrift,"Övrig (populärvetenskap, debatt, mm)",swe,Dagens Nyheter,1101-2447,,published,,,,,,2016,,,"Stockholm, Sweden",AB Dagens Nyheter,,,,,https://www.dn.se/debatt/repliker/oppen-vetenskap-behover-inte-kosta-en-enda-krona/,,,,,,urn:nbn:se:liu:diva-143403,,,,Medicinteknik (206),,,,,,,,,,,,,,,,,12/5/2017,12/5/2017,12/14/2017,,,1.0,,deprecated,,newsItem,,,,True,,,,"Linköpings universitet [276], Institutionen för medicinsk teknik [286], Avdelningen för medicinsk teknik [877301], Linköpings universitet [276], Institutionen för datavetenskap [281], Statistik och maskininlärning [878151], Linköpings universitet [276], Tekniska fakulteten [872902], Linköpings universitet [276], Centrum för medicinsk bildvetenskap och visualisering, CMIV [3801]","['276', '286', '877301', '276', '281', '878151', '276', '872902', '276', '3801']",True
1210896,"Burdakov, Oleg [olebu87] [0000-0003-1836-4200] (Linköpings universitet [276], Matematiska institutionen [307], Optimeringslära [2328]) (Linköpings universitet [276], Tekniska fakulteten [872902]);Sysoev, Oleg [olesy12] (Linköpings universitet [276], Institutionen för datavetenskap [281], Statistik och maskininlärning [878151]) (Linköpings universitet [276], Filosofiska fakulteten [1750])",A Dual Active-Set Algorithm for Regularized Slope-Constrained Monotonic Regression,Artikel i tidskrift,Refereegranskat,eng,Iranian Journal of Operations Research,2008-1189,,published,8,2,,40,47,2017,,,Tehran,,,,,,,,10.29252/iors.8.2.40,,,,urn:nbn:se:liu:diva-148061,,,Monotonic regression;Regularization;Quadratic penalty;Convex quadratic optimization;Dual active-set method;Large-scale optimization,Beräkningsmatematik (10105),,,,"<p>In many problems, it is necessary to take into account monotonic relations. Monotonic (isotonic) Regression (MR) is often involved in solving such problems. The MR solutions are of a step-shaped form with a typical sharp change of values between adjacent steps. This, in some applications, is regarded as a disadvantage. We recently introduced a Smoothed MR (SMR) problem which is obtained from the MR by adding a regularization penalty term. The SMR is aimed at smoothing the aforementioned sharp change. Moreover, its solution has a far less pronounced step-structure, if at all available. The purpose of this paper is to further improve the SMR solution by getting rid of such a structure. This is achieved by introducing a lowed bound on the slope in the SMR. We call it Smoothed Slope-Constrained MR (SSCMR) problem. It is shown here how to reduce it to the SMR which is a convex quadratic optimization problem. The Smoothed Pool Adjacent Violators (SPAV) algorithm developed in our recent publications for solving the SMR problem is adapted here to solving the SSCMR problem. This algorithm belongs to the class of dual active-set algorithms. Although the complexity of the SPAV algorithm is <em>o</em>(<em>n</em><sup>2</sup>) its running time is growing in our computational experiments almost linearly with <em>n</em>. We present numerical results which illustrate the predictive performance quality of our approach. They also show that the SSCMR solution is free of the undesirable features of the MR and SMR solutions.</p>",,,,,,,,,,,,,5/29/2018,5/29/2018,6/7/2018,,,2.0,,deprecated,,,,,,True,,,,"Linköpings universitet [276], Matematiska institutionen [307], Optimeringslära [2328], Linköpings universitet [276], Tekniska fakulteten [872902], Linköpings universitet [276], Institutionen för datavetenskap [281], Statistik och maskininlärning [878151], Linköpings universitet [276], Filosofiska fakulteten [1750]","['276', '307', '2328', '276', '872902', '276', '281', '878151', '276', '1750']",True
1133926,"Gu, Xuan [xuagu37] (Linköpings universitet [276], Institutionen för medicinsk teknik [286], Avdelningen för medicinsk teknik [877301]) (Linköpings universitet [276], Tekniska fakulteten [872902]) (Linköpings universitet [276], Centrum för medicinsk bildvetenskap och visualisering, CMIV [3801]);Sidén, Per [persi28] (Linköpings universitet [276], Institutionen för datavetenskap [281], Statistik och maskininlärning [878151]) (Linköpings universitet [276], Tekniska fakulteten [872902]);Wegmann, Bertil [berwe48] [0000-0003-2193-6003] (Linköpings universitet [276], Institutionen för datavetenskap [281], Statistik och maskininlärning [878151]) (Linköpings universitet [276], Tekniska fakulteten [872902]);Eklund, Anders [andek67] (Linköpings universitet [276], Institutionen för medicinsk teknik [286], Avdelningen för medicinsk teknik [877301]) (Linköpings universitet [276], Institutionen för datavetenskap [281], Statistik och maskininlärning [878151]) (Linköpings universitet [276], Tekniska fakulteten [872902]) (Linköpings universitet [276], Centrum för medicinsk bildvetenskap och visualisering, CMIV [3801]);Villani, Mattias [matvi05] (Linköpings universitet [276], Institutionen för datavetenskap [281], Statistik och maskininlärning [878151]) (Linköpings universitet [276], Tekniska fakulteten [872902]);Knutsson, Hans [hankn25] [0000-0002-9091-4724] (Linköpings universitet [276], Institutionen för medicinsk teknik [286], Avdelningen för medicinsk teknik [877301]) (Linköpings universitet [276], Tekniska fakulteten [872902]) (Linköpings universitet [276], Centrum för medicinsk bildvetenskap och visualisering, CMIV [3801])",Bayesian Diffusion Tensor Estimation with Spatial Priors,Konferensbidrag,Refereegranskat,eng,,,,,10424,,CAIP 2017 : Computer Analysis of Images and Patterns,372,383,2017,,,,,Lecture Notes in Computer Science ; 10424,0302-9743,0302-9743,978-3-319-64689-3;978-3-319-64688-6,,,10.1007/978-3-319-64689-3_30,432000000000.0,,,urn:nbn:se:liu:diva-139844,,,Spatial regularization;Diffusion tensor;Spatial priors Markov chain;Monte Carlo Fractional anisotropy,Medicinteknik (206),,,"<p>Funding agencies: Information Technology for European Advancement (ITEA) 3 Project BENEFIT (better effectiveness and efficiency by measuring and modelling of interventional therapy); Swedish Research Council [2015-05356, 2013-5229]; National Institute of Dental and Craniof</p>","<p>Spatial regularization is a technique that exploits the dependence between nearby regions to locally pool data, with the effect of reducing noise and implicitly smoothing the data. Most of the currently proposed methods are focused on minimizing a cost function, during which the regularization parameter must be tuned in order to find the optimal solution. We propose a fast Markov chain Monte Carlo (MCMC) method for diffusion tensor estimation, for both 2D and 3D priors data. The regularization parameter is jointly with the tensor using MCMC. We compare FA (fractional anisotropy) maps for various b-values using three diffusion tensor estimation methods: least-squares and MCMC with and without spatial priors. Coefficient of variation (CV) is calculated to measure the uncertainty of the FA maps calculated from the MCMC samples, and our results show that the MCMC algorithm with spatial priors provides a denoising effect and reduces the uncertainty of the MCMC samples.</p>",,,,,,,,,,,,,8/17/2017,8/17/2017,11/19/2019,https://liu.diva-portal.org/smash/get/diva2:1133926/FULLTEXT01.pdf,,6.0,,deprecated,urn:nbn:se:liu:diva-161288,publishedPaper,International Conference on Computer Analysis of Images and Patterns,,,False,,,,"Linköpings universitet [276], Institutionen för medicinsk teknik [286], Avdelningen för medicinsk teknik [877301], Linköpings universitet [276], Tekniska fakulteten [872902], Linköpings universitet [276], Centrum för medicinsk bildvetenskap och visualisering, CMIV [3801], Linköpings universitet [276], Institutionen för datavetenskap [281], Statistik och maskininlärning [878151], Linköpings universitet [276], Tekniska fakulteten [872902], Linköpings universitet [276], Institutionen för datavetenskap [281], Statistik och maskininlärning [878151], Linköpings universitet [276], Tekniska fakulteten [872902], Linköpings universitet [276], Institutionen för medicinsk teknik [286], Avdelningen för medicinsk teknik [877301], Linköpings universitet [276], Institutionen för datavetenskap [281], Statistik och maskininlärning [878151], Linköpings universitet [276], Tekniska fakulteten [872902], Linköpings universitet [276], Centrum för medicinsk bildvetenskap och visualisering, CMIV [3801], Linköpings universitet [276], Institutionen för datavetenskap [281], Statistik och maskininlärning [878151], Linköpings universitet [276], Tekniska fakulteten [872902], Linköpings universitet [276], Institutionen för medicinsk teknik [286], Avdelningen för medicinsk teknik [877301], Linköpings universitet [276], Tekniska fakulteten [872902], Linköpings universitet [276], Centrum för medicinsk bildvetenskap och visualisering, CMIV [3801]","['276', '286', '877301', '276', '872902', '276', '3801', '276', '281', '878151', '276', '872902', '276', '281', '878151', '276', '872902', '276', '286', '877301', '276', '281', '878151', '276', '872902', '276', '3801', '276', '281', '878151', '276', '872902', '276', '286', '877301', '276', '872902', '276', '3801']",True
1148542,"Wegmann, Bertil [berwe48] [0000-0003-2193-6003] (Linköpings universitet [276], Institutionen för datavetenskap [281], Statistik och maskininlärning [878151]) (Linköpings universitet [276], Tekniska fakulteten [872902]);Eklund, Anders [andek67] (Linköpings universitet [276], Institutionen för medicinsk teknik [286], Avdelningen för medicinsk teknik [877301]) (Linköpings universitet [276], Tekniska fakulteten [872902]) (Linköpings universitet [276], Centrum för medicinsk bildvetenskap och visualisering, CMIV [3801]);Villani, Mattias [matvi05] (Linköpings universitet [276], Institutionen för datavetenskap [281], Statistik och maskininlärning [878151]) (Linköpings universitet [276], Filosofiska fakulteten [1750])",Bayesian Heteroscedastic Regression for Diffusion Tensor Imaging,Konferensbidrag,Refereegranskat,eng,,,,,,,"Modeling, Analysis, and Visualization of Anisotropy",257,282,2017,1,,,Springer Publishing Company,Mathematics and Visualization,1612-3786,,978-3-319-61357-4;978-3-319-61358-1,,,10.1007/978-3-319-61358-1_11,,,2-s2.0-85031996709,urn:nbn:se:liu:diva-141878,,,,Matematik (101);Sannolikhetsteori och statistik (10106),,,,"<p>We propose a single-diffusion tensor model with heteroscedastic noise and a Bayesian approach via a highly efficient Markov Chain Monte Carlo (MCMC) algorithm for inference. The model is very flexible since both the noise-free signal and the noise variance are functions of diffusion covariates, and the relevant covariates in the noise are automatically selected by Bayesian variable selection. We compare the estimated diffusion tensors from our model to a homoscedastic counterpart with no covariates in the noise, and to commonly used linear and nonlinear least squares methods. The estimated single-diffusion tensors within each voxel are compared with respect to fractional anisotropy (FA) and mean diffusivity (MD). Using data from the Human Connectome Project, our results show that the noise is clearly heteroscedastic, especially the posterior variance for MD is substantially underestimated by the homoscedastic model, and inferences from the homoscedastic model are on average spuriously precise. Inferences from commonly used ordinary and weighted least squares methods (OLS and WLS) show that it is not adequate to estimate the single-diffusion tensor from logarithmic measurements.</p>",,,,,,,,,,,,,10/11/2017,10/11/2017,7/3/2019,,Vetenskapsrådet [2015-05356];Vetenskapsrådet [2013-5229],3.0,,deprecated,,publishedPaper,"Multidisciplinary Approaches to Multivalued Data: Modeling, Visualization, Analysis, April 2016",,,True,,,,"Linköpings universitet [276], Institutionen för datavetenskap [281], Statistik och maskininlärning [878151], Linköpings universitet [276], Tekniska fakulteten [872902], Linköpings universitet [276], Institutionen för medicinsk teknik [286], Avdelningen för medicinsk teknik [877301], Linköpings universitet [276], Tekniska fakulteten [872902], Linköpings universitet [276], Centrum för medicinsk bildvetenskap och visualisering, CMIV [3801], Linköpings universitet [276], Institutionen för datavetenskap [281], Statistik och maskininlärning [878151], Linköpings universitet [276], Filosofiska fakulteten [1750]","['276', '281', '878151', '276', '872902', '276', '286', '877301', '276', '872902', '276', '3801', '276', '281', '878151', '276', '1750']",True
